Word,IPA Pronunciation,Cambridge Pronunciation Number
commander,kəmændɚ,1
commanding,kəmændɪŋ,1
commandment,kəmændmənt,1
commando,kəmændoʊ,1
commemorate,,0
commemoration,,0
commemorative,,0
commence,kəmɛns,1
commencement,kəmɛnsmənt,1
commend,kəmɛnd,1
commendable,kəmɛndəbəl,1
commendation,kɑməndeɪʃən,1
commensurate,,0
comment,kɑmɛnt,1
commentary,kɑməntɛɹi,1
commentator,kɑmənteɪtɚ,1
commerce,kɑmɝs,1
commercial,kəmɝʃəl,1
commercialism,kəmɝʃəlɪzəm,1
commercialization,,0
commercialize,kəmɝʃəlaɪz,1
commercialized,kəmɝʃəlaɪzd,1
commercially,kəmɝʃəli,1
commie,kɑmi,1
commiserate,,0
commissar,kɑməsɑɹ,1
commissary,kɑməsɛɹi,1
commission,kəmɪʃən,1
commissioned,kəmɪʃənd,1
commissioner,kəmɪʃənɚ,1
commit,kəmɪt,1
commitment,kəmɪtmənt,1
committal,kəmɪtəl,1
committed,kəmɪtɪd,1
committee,kəmɪti,1
commode,kəmoʊd,1
commodious,kəmoʊdiəs,1
commodity,kəmɑdəti,1
commodore,kɑmədɔɹ,1
common,kɑmən,1
commonality,,0
commoner,kɑmənɚ,1
commonly,kɑmənli,1
commonplace,kɑmənpleɪs,1
commonwealth,kɑmənwɛlθ,1
commotion,kəmoʊʃən,1
communal,kəmjunəl,4
commune,kɑmjun,1
communicable,kəmjunəkəbəl,1
communicate,kəmjunəkeɪt,1
communication,kəmjunəkeɪʃən,1
communications,,0
communicative,,0
communicator,kəmjunəkeɪtɚ,1
communion,kəmjunjən,1
communism,kɑmjənɪzəm,1
communist,,0
community,kəmjunəti,1
commutation,kɑmjəteɪʃən,1
commute,kəmjut,1
commuter,kəmjutɚ,1
commuting,kəmjutɪŋ,1
comp,kɑmp,1
compact,,0
compactor,kəmpæktɚ,1
companion,kəmpænjən,1
companionship,kəmpænjənʃɪp,1
companionway,kəmpænjənweɪ,1
company,kʌmpəni,1
comparable,,0
comparative,kəmpæɹətɪv,2
comparatively,,0
compare,kəmpɛɹ,1
comparison,,0
compartment,kəmpɑɹtmənt,1
compartmentalize,,0
compass,kʌmpəs,1
compassion,kəmpæʃən,1
compassionate,kəmpæʃənət,1
compassionately,kəmpæʃənətli,1
compatibility,kəmpætəbɪləti,1
compatible,kəmpætəbəl,1
compatriot,kəmpeɪtɹiət,1
compel,kəmpɛl,1
compelled,kəmpɛld,1
compelling,kəmpɛlɪŋ,1
compellingly,kəmpɛlɪŋli,1
compendium,kəmpɛndiəm,1
compensate,kɑmpənseɪt,1
compensation,,0
compensatory,kəmpɛnsətɔɹi,1
compete,kəmpit,1
competence,,0
competency,,0
competent,,0
competently,,0
competition,kɑmpətɪʃən,1
competitive,kəmpɛtətɪv,1
competitively,,0
competitiveness,,0
competitor,kəmpɛtətɚ,1
compilation,kɑmpəleɪʃən,1
compile,kəmpaɪl,1
compiler,kəmpaɪlɚ,1
complacency,kəmpleɪsənsi,1
complacent,kəmpleɪsənt,1
complacently,kəmpleɪsəntli,1
complain,kəmpleɪn,1
complainant,kəmpleɪnənt,1
complaining,kəmpleɪnɪŋ,1
complaint,kəmpleɪnt,1
complement,,0
complementary,,0
complete,kəmplit,1
completely,kəmplitli,1
completeness,kəmplitnəs,1
completion,kəmpliʃən,1
complex,kɑmplɛks,1
complexion,kəmplɛkʃən,1
complexity,kəmplɛksəti,1
compliance,kəmplaɪəns,1
compliant,kəmplaɪənt,1
complicate,kɑmpləkeɪt,1
complicated,,0
complication,kɑmpləkeɪʃən,1
complicit,,0
complicity,kəmplɪsəti,1
compliment,,0
complimentary,kɑmpləmɛntɚi,1
comply,kəmplaɪ,1
component,kəmpoʊnənt,1
comport,kəmpɔɹt,1
comportment,kəmpɔɹtmənt,1
compose,kəmpoʊz,1
composed,kəmpoʊzd,1
composer,kəmpoʊzɚ,1
composite,,0
composition,kɑmpəzɪʃən,1
compositional,kɑmpəzɪʃənəl,1
compost,kɑmpoʊst,1
composure,kəmpoʊʒɚ,1
compote,kɑmpoʊt,1
compound,kɑmpaʊnd,1
comprehend,,0
comprehensible,,0
comprehension,,0
comprehensive,,0
compress,,0
compression,kəmpɹɛʃən,1
compressor,kəmpɹɛsɚ,1
comprise,kəmpɹaɪz,1
compromise,kɑmpɹəmaɪz,1
compromising,kɑmpɹəmaɪzɪŋ,1
comptroller,,0
compulsion,kəmpʌlʃən,1
compulsive,kəmpʌlsɪv,1
compulsively,kəmpʌlsɪvli,1
compulsory,kəmpʌlsɚi,1
compunction,kəmpʌŋkʃən,1
computation,kɑmpjəteɪʃən,1
computational,,0
compute,kəmpjut,1
computer,kəmpjutɚ,1
computerization,,0
computerize,,0
computing,kəmpjutɪŋ,1
comrade,kɑmɹæd,1
con,kɑn,1
concatenate,kənkætəneɪt,1
concatenation,kənkætəneɪʃən,1
concave,kɑnkeɪv,1
conceal,kənsil,1
concealed,kənsild,1
concealment,kənsilmənt,1
concede,kənsid,1
conceit,kənsit,1
conceited,,0
conceivable,kənsivəbəl,1
conceivably,kənsivəbli,1
conceive,kənsiv,1
concentrate,kɑnsəntɹeɪt,1
concentrated,,0
concentration,kɑnsəntɹeɪʃən,1
concentric,kənsɛntɹɪk,1
concept,kɑnsɛpt,1
conception,kənsɛpʃən,1
conceptual,kənsɛptʃuəl,1
conceptually,kənsɛptʃuəli,1
concern,kənsɝn,1
concerned,kənsɝnd,1
concerning,kənsɝnɪŋ,1
concert,kɑnsɚt,1
concerted,,0
concertina,kɑnsɚtinə,1
concerto,kəntʃɛɹtoʊ,1
concession,kənsɛʃən,1
concessionary,kənsɛʃənɛɹi,1
conch,,0
concha,,0
concierge,kɑnsiɛɹʒ,1
conciliation,kənsɪlieɪʃən,1
conciliatory,kənsɪliətɔɹi,1
concise,kənsaɪs,1
concisely,kənsaɪsli,1
conclave,kɑnkleɪv,1
conclude,kənklud,1
concluding,kənkludɪŋ,1
conclusion,kənkluʒən,1
conclusive,kənklusɪv,1
conclusively,kənklusɪvli,1
concoct,kənkɑkt,1
concoction,kənkɑkʃən,1
concomitant,,0
concord,,0
concourse,kɑnkɔɹs,1
concrete,,0
concretely,kɑnkɹitli,1
concubine,kɑnkjəbaɪn,1
concur,kənkɝ,1
concurrence,kənkɝəns,1
concurrent,kənkɝənt,1
concurrently,kənkɝəntli,1
concussion,kənkʌʃən,1
condemn,kəndɛm,1
condemnation,kɑndəmneɪʃən,1
condemned,kəndɛmd,1
condensation,kɑndənseɪʃən,3
condense,kəndɛns,1
condensed,kəndɛnst,1
condenser,kəndɛnsɚ,1
condescend,,0
condescending,,0
condescension,kɑndəsɛnʃən,1
condiment,kɑndəmənt,1
condition,kəndɪʃən,1
conditional,kəndɪʃənəl,1
conditioner,kəndɪʃənɚ,1
conditioning,kəndɪʃənɪŋ,1
conditions,kəndɪʃənz,1
condo,kɑndoʊ,1
condolence,kəndoʊləns,1
condom,kɑndəm,1
condominium,kɑndəmɪniəm,1
condone,kəndoʊn,1
condor,,0
conducive,kəndusɪv,1
conduct,,0
conduction,kəndʌkʃən,1
conductive,kəndʌktɪv,1
conductivity,,0
conductor,kəndʌktɚ,1
conduit,kɑnduɪt,1
cone,koʊn,1
coney,koʊni,1
confabulation,kənfæbjəleɪʃən,1
confection,kənfɛkʃən,1
confectionary,kənfɛkʃənɛɹi,1
confectioner,kənfɛkʃənɚ,1
confectionery,kənfɛkʃənɛɹi,1
confederacy,kənfɛdɚəsi,1
confederate,kənfɛdɚət,1
confederation,,0
confer,kənfɝ,1
conference,kɑnfɚəns,1
confess,kənfɛs,1
confession,kənfɛʃən,1
confessional,kənfɛʃənəl,1
confetti,kənfɛti,1
confidant,,0
confide,kənfaɪd,1
confidence,,0
confident,kɑnfədənt,1
confidential,kɑnfədɛnʃəl,1
confidentiality,kɑnfədɛnʃiæləti,1
confidentially,kɑnfədɛnʃəli,1
confidently,kɑnfədəntli,1
confiding,kənfaɪdɪŋ,1
configuration,,0
configure,kənfɪɡjɚ,1
confine,kənfaɪn,1
confinement,kənfaɪnmənt,1
confines,kɑnfaɪnz,1
confirm,kənfɝm,1
confirmation,kɑnfɚmeɪʃən,1
confirmed,kənfɝmd,1
confiscate,kɑnfəskeɪt,1
confiscation,kɑnfəskeɪʃən,1
confiscatory,kənfɪskətɔɹi,1
conflagration,kɑnfləɡɹeɪʃən,1
conflict,kɑnflɪkt,1
conflicted,kənflɪktɪd,1
conflicting,kənflɪktɪŋ,1
confluence,kɑnfluəns,1
conform,kənfɔɹm,1
conformance,kənfɔɹməns,1
conformist,kənfɔɹmɪst,1
conformity,kənfɔɹməti,1
confound,,0
confounded,kənfaʊndɪd,1
confront,kənfɹʌnt,1
confrontation,kɑnfɹənteɪʃən,1
confrontational,kɑnfɹənteɪʃənəl,1
confronted,,0
confronting,kənfɹʌntɪŋ,1
confuse,kənfjuz,1
confused,kənfjuzd,1
confusing,kənfjuzɪŋ,1
confusion,kənfjuʒən,1
conga,,0
congeal,kəndʒil,1
congealed,kəndʒild,1
congenial,kəndʒinjəl,2
congeniality,kəndʒiniæləti,1
congenital,kəndʒɛnətəl,1
congest,kəndʒɛst,1
congested,,0
congestion,kəndʒɛstʃən,1
congestive,,0
conglomerate,kənɡlɑmɚət,1
conglomeration,kənɡlɑmɚeɪʃən,1
congrats,kənɡɹæts,1
congratulate,kənɡɹætʃəleɪt,1
congratulation,kənɡɹætʃəleɪʃən,1
congratulations,kənɡɹætʃəleɪʃənz,1
congratulatory,kənɡɹætʃələtɔɹi,1
congregate,kɑŋɡɹəɡeɪt,1
congregation,kɑŋɡɹəɡeɪʃən,1
congress,kɑŋɡɹəs,3
congressional,,0
congressman,kɑŋɡɹəsmən,2
congresswoman,kɑŋɡɹəswʊmən,2
congruity,,0
conic,kɑnɪk,1
conical,kɑnɪkəl,1
conjecture,kəndʒɛktʃɚ,1
conjoined,,0
conjugal,kɑndʒəɡəl,1
conjugate,kɑndʒəɡeɪt,1
conjugation,kɑndʒəɡeɪʃən,1
conjunction,kəndʒʌŋkʃən,1
conjure,,0
conk,kɑŋk,1
connect,kənɛkt,1
connected,kənɛktɪd,1
connecting,kənɛktɪŋ,1
connection,kənɛkʃən,1
connective,kənɛktɪv,1
connectivity,,0
connector,kənɛktɚ,1
connivance,kənaɪvəns,1
connive,kənaɪv,1
conniving,kənaɪvɪŋ,1
connoisseur,kɑnəsɝ,1
connotation,kɑnəteɪʃən,1
connote,kənoʊt,1
conquer,kɑŋkɚ,1
conqueror,kɑŋkɚɚ,1
conquest,kɑŋkwɛst,1
conscience,kɑnʃəns,1
conscientious,kɑnʃiɛnʃəs,1
conscientiously,,0
conscious,kɑnʃəs,1
consciously,kɑnʃəsli,1
consciousness,kɑnʃəsnəs,1
conscript,,0
conscription,kənskɹɪpʃən,1
consecrate,kɑnsəkɹeɪt,1
consecrated,,0
consecration,kɑnsəkɹeɪʃən,1
consecutive,kənsɛkjətɪv,1
consecutively,kənsɛkjətɪvli,1
consensual,,0
consensus,kənsɛnsəs,1
consent,kənsɛnt,1
consenting,kənsɛntɪŋ,1
consequence,kɑnsəkwəns,1
consequent,kɑnsəkwənt,1
consequential,,0
consequently,kɑnsəkwəntli,1
conservancy,,0
conservation,kɑnsɚveɪʃən,1
conservationist,kɑnsɚveɪʃənɪst,1
conservatism,kənsɝvətɪzəm,1
conservative,kənsɝvətɪv,1
conservatively,kənsɝvətɪvli,1
conservator,,0
conservatorship,,0
conservatory,kənsɝvətɔɹi,1
conserve,kənsɝv,1
consider,kənsɪdɚ,1
considerable,kənsɪdɚəbəl,1
considerably,kənsɪdɚəbli,1
considerate,kənsɪdɚət,1
consideration,,0
considering,kənsɪdɚɪŋ,1
consign,kənsaɪn,1
consignment,kənsaɪnmənt,1
consistency,kənsɪstənsi,1
consistent,kənsɪstənt,1
consistently,kənsɪstəntli,1
consolation,kɑnsəleɪʃən,1
console,,0
consolidate,,0
consolidated,,0
consolidation,kənsɑlədeɪʃən,1
consoling,kənsoʊlɪŋ,1
consonant,kɑnsənənt,1
consort,kənsɔɹt,1
consortium,kənsɔɹʃiəm,2
conspicuous,kənspɪkjuəs,1
conspicuously,kənspɪkjuəsli,1
conspiracy,kənspɪɹəsi,1
conspirator,kənspɪɹətɚ,1
conspiratorial,kənspɪɹətɔɹiəl,1
conspire,,0
constable,kɑnstəbəl,1
constabulary,,0
constancy,kɑnstənsi,1
constant,kɑnstənt,1
constantly,kɑnstəntli,1
constellation,kɑnstəleɪʃən,1
consternation,kɑnstɚneɪʃən,1
constipated,,0
constipation,kɑnstəpeɪʃən,1
constituency,kənstɪtʃuənsi,1
constituent,kənstɪtʃuənt,1
constitute,kɑnstətut,1
constitution,kɑnstətuʃən,1
constitutional,kɑnstətuʃənəl,1
constitutionality,kɑnstɪtuʃənælɪti,2
constitutionally,kɑnstətuʃənəli,1
constrain,kənstɹeɪn,1
constrained,kənstɹeɪnd,1
constraint,kənstɹeɪnt,1
constrict,kənstɹɪkt,1
constriction,kənstɹɪkʃən,1
constrictor,kənstɹɪktɚ,1
construct,kənstɹʌkt,1
construction,kənstɹʌkʃən,1
constructionist,kənstɹʌkʃənɪst,1
constructive,kənstɹʌktɪv,1
constructively,kənstɹʌktɪvli,1
constructor,kənstɹʌktɚ,1
construe,kənstɹu,1
consul,kɑnsəl,1
consular,,0
consulate,kɑnsələt,2
consult,kənsʌlt,1
consultant,kənsʌltənt,1
consultation,kɑnsəlteɪʃən,3
consulting,kənsʌltɪŋ,1
consume,kənsum,1
consumer,kənsumɚ,1
consumerism,kənsumɚɪzəm,1
consuming,kənsumɪŋ,1
consummate,kɑnsəmət,1
consummation,kɑnsəmeɪʃən,1
consumption,kənsʌmpʃən,1
contact,kɑntækt,1
contagion,kənteɪdʒən,1
contagious,kənteɪdʒəs,1
contain,kənteɪn,1
container,kənteɪnɚ,1
containment,kənteɪnmənt,1
contaminant,kəntæmənənt,1
contaminate,kəntæməneɪt,1
contaminated,,0
contamination,kəntæməneɪʃən,1
contemplate,kɑntəmpleɪt,1
contemplation,kɑntəmpleɪʃən,1
contemplative,kəntɛmplətɪv,1
contemporaneously,,0
contemporary,,0
contempt,kəntɛmpt,1
contemptible,kəntɛmptəbəl,1
contemptuous,kəntɛmptʃuəs,1
contemptuously,kəntɛmptʃuəsli,1
contend,kəntɛnd,1
contender,kəntɛndɚ,1
content,,0
contented,,0
contentedly,,0
contention,kəntɛnʃən,3
contentious,kəntɛnʃəs,2
contentment,kəntɛntmənt,1
contents,kɑntɛnts,1
contest,kɑntɛst,1
contestable,kəntɛstəbəl,1
contestant,kəntɛstənt,1
context,kɑntɛkst,1
contextual,,0
contiguous,kəntɪɡjuəs,1
continent,kɑntənənt,1
continental,kɑntənɛntəl,1
contingency,kəntɪndʒənsi,1
contingent,kəntɪndʒənt,1
continual,kəntɪnjuəl,1
continually,kəntɪnjuəli,1
continuation,kəntɪnjueɪʃən,1
continue,kəntɪnju,1
continued,kəntɪnjud,1
continuing,kəntɪnjuɪŋ,1
continuity,kɑntənuəti,1
continuous,kəntɪnjuəs,1
continuously,kəntɪnjuəsli,1
continuum,kəntɪnjuəm,1
contort,kəntɔɹt,1
contorted,,0
contortion,kəntɔɹʃən,1
contortionist,,0
contour,kɑntʊɹ,1
contoured,kɑntʊɹd,1
contraband,kɑntɹəbænd,1
contraception,kɑntɹəsɛpʃən,1
contraceptive,kɑntɹəsɛptɪv,1
contract,kɑntɹækt,1
contraction,kəntɹækʃən,1
contractor,kɑntɹæktɚ,1
contractual,kəntɹæktʃuəl,1
contractually,kəntɹæktʃuəli,1
contradict,kɑntɹədɪkt,1
contradiction,kɑntɹədɪkʃən,1
contradictory,kɑntɹədɪktɚi,1
contraption,kəntɹæpʃən,1
contrariness,,0
contrary,kɑntɹɛɹi,1
contrast,kɑntɹæst,1
contrasting,kəntɹæstɪŋ,1
contravene,kɑntɹəvin,1
contravention,,0
contretemps,,0
contribute,kəntɹɪbjut,1
contribution,kɑntɹəbjuʃən,2
contributor,kəntɹɪbjətɚ,1
contributory,kəntɹɪbjətɔɹi,1
contrite,,0
contrition,,0
contrivance,kəntɹaɪvəns,1
contrive,kəntɹaɪv,1
contrived,kəntɹaɪvd,1
control,kəntɹoʊl,1
controllable,kəntɹoʊləbəl,1
controlled,kəntɹoʊld,1
controller,kəntɹoʊlɚ,1
controlling,kəntɹoʊlɪŋ,1
controls,kəntɹoʊlz,1
controversial,kɑntɹəvɝʃəl,1
controversy,kɑntɹəvɝsi,1
contusion,kəntuʒən,1
conundrum,kənʌndɹəm,1
convalesce,kɑnvəlɛs,1
convalescence,kɑnvəlɛsəns,1
convalescent,kɑnvəlɛsənt,1
convection,kənvɛkʃən,1
convene,kənvin,1
convenience,kənvinjəns,4
convenient,kənvinjənt,3
conveniently,,0
convent,kɑnvənt,1
convention,kənvɛnʃən,1
conventional,kənvɛnʃənəl,1
conventionally,kənvɛnʃənəli,1
converge,kənvɝdʒ,1
convergence,kənvɝdʒəns,1
convergent,kənvɝdʒənt,1
conversant,,0
conversation,kɑnvɚseɪʃən,1
conversational,kɑnvɚseɪʃənəl,1
conversationalist,,0
converse,kɑnvɝs,1
conversely,kɑnvɝsli,1
conversion,kənvɝʒən,1
convert,,0
converted,kənvɝtɪd,1
converter,kənvɝtɚ,1
convertible,kənvɝtəbəl,1
convex,,0
convey,kənveɪ,1
conveyance,kənveɪəns,1
convict,,0
convicted,,0
conviction,kənvɪkʃən,1
convince,kənvɪns,1
convinced,kənvɪnst,1
convincing,kənvɪnsɪŋ,1
convincingly,kənvɪnsɪŋli,1
convivial,kənvɪviəl,1
convocation,kɑnvəkeɪʃən,1
convoluted,,0
convolution,kɑnvəluʃən,1
convoy,kɑnvɔɪ,1
convulsion,kənvʌlʃən,1
coo,ku,1
cook,kʊk,1
cookbook,kʊkbʊk,1
cooked,kʊkt,1
cooker,kʊkɚ,1
cookie,kʊki,1
cooking,kʊkɪŋ,1
cookout,kʊkaʊt,1
cookware,kʊkwɛɹ,1
cool,kul,1
coolant,kulənt,1
cooler,kulɚ,1
cooling,kulɪŋ,1
coolly,,0
coolness,kulnəs,1
coon,kun,1
coop,kup,1
cooper,kupɚ,1
cooperate,,0
cooperation,,0
cooperative,,0
coordinate,,0
coordinated,koʊɔɹdəneɪtɪd,1
coordination,koʊɔɹdəneɪʃən,1
coordinator,koʊɔɹdəneɪtɚ,1
coot,kut,1
cop,kɑp,1
cope,koʊp,1
copier,kɑpiɚ,1
copilot,,0
coping,koʊpɪŋ,1
copious,koʊpiəs,1
copiously,,0
copper,kɑpɚ,1
coppery,kɑpɚi,1
copra,koʊpɹə,1
copulate,kɑpjəleɪt,1
copy,kɑpi,1
copycat,kɑpikæt,1
copycatting,kɑpikætɪŋ,1
copyright,kɑpiɹaɪt,1
copywriter,kɑpiɹaɪtɚ,1
cor,kɔɹ,1
coral,kɔɹəl,1
cord,kɔɹd,1
corded,,0
cordial,kɔɹdʒəl,1
cordially,kɔɹdʒəli,1
cordless,kɔɹdləs,1
cordon,kɔɹdən,1
corduroy,,0
core,kɔɹ,1
corgi,kɔɹɡi,1
coriander,kɔɹiændɚ,1
cork,kɔɹk,1
corker,kɔɹkɚ,1
corkscrew,kɔɹkskɹu,1
corky,kɔɹki,1
cormorant,kɔɹmɚənt,1
corn,kɔɹn,1
corncob,kɔɹnkɑb,1
cornea,kɔɹniə,1
corneal,,0
corner,kɔɹnɚ,1
cornerback,kɔɹnɚbæk,1
cornerstone,kɔɹnɚstoʊn,1
cornet,,0
cornfield,kɔɹnfild,1
cornflower,kɔɹnflaʊɚ,1
cornmeal,kɔɹnmil,2
cornstalk,,0
cornstarch,kɔɹnstɑɹtʃ,1
cornucopia,kɔɹnəkoʊpiə,1
corny,kɔɹni,1
corolla,,0
corollary,kɔɹəlɛɹi,1
corona,,0
coronal,,0
coronary,kɔɹənɛɹi,1
coronation,kɔɹəneɪʃən,1
coroner,kɔɹənɚ,1
coronet,kɔɹənɛt,1
corpora,kɔɹpɚə,1
corporal,kɔɹpɚəl,1
corporate,kɔɹpɚət,1
corporation,,0
corps,kɔɹ,1
corpse,kɔɹps,1
corpus,kɔɹpəs,1
corral,,0
correct,,0
correction,,0
correctional,,0
corrections,,0
corrective,,0
correctly,,0
correctness,,0
correlate,kɔɹəleɪt,1
correlation,kɔɹəleɪʃən,1
correspond,kɔɹəspɑnd,1
correspondence,kɔɹəspɑndəns,1
correspondent,kɔɹəspɑndənt,1
corresponding,kɔɹəspɑndɪŋ,1
correspondingly,kɔɹəspɑndɪŋli,1
corridor,kɔɹədɚ,1
corrie,kɔɹi,1
corroborate,,0
corroborating,,0
corroboration,,0
corrode,,0
corrosion,,0
corrosive,,0
corrugated,,0
corrupt,,0
corruptible,,0
corruption,,0
corruptly,,0
corsage,kɔɹsɑʒ,1
corsair,kɔɹsɛɹ,1
corset,kɔɹsət,1
cortege,kɔɹtɛʒ,1
cortex,kɔɹtɛks,1
cortical,,0
cortisol,,0
cortisone,kɔɹtəzoʊn,1
corvette,kɔɹvɛt,1
cos,,0
cosmetic,kɑzmɛtɪk,1
cosmetically,,0
cosmetics,kɑzmɛtɪks,1
cosmetology,kɑzmətɑlədʒi,1
cosmic,kɑzmɪk,1
cosmology,,0
cosmonaut,,0
cosmopolitan,,0
cosmos,kɑzmoʊs,1
cost,kɑst,1
costar,koʊstɑɹ,1
costing,,0
costly,kɑstli,1
costume,kɑstum,1
cosy,koʊzi,1
cot,kɑt,1
coterie,koʊtɚi,1
cottage,,0
cotton,kɑtən,1
cottonwood,kɑtənwʊd,1
couch,kaʊtʃ,1
cougar,kuɡɚ,1
cough,kɑf,1
could,kʊd,2
council,kaʊnsəl,1
councilman,kaʊnsəlmən,1
councilor,,0
councilwoman,,0
counsel,kaʊnsəl,1
counseling,kaʊnsəlɪŋ,1
counsellor,kaʊnsəlɚ,1
counselor,kaʊnsəlɚ,1
count,kaʊnt,1
countable,kaʊntəbəl,1
countdown,kaʊntdaʊn,1
countenance,kaʊntənəns,1
counter,kaʊntɚ,1
counteract,kaʊntɚækt,1
counterattack,kaʊntɚətæk,1
counterbalance,kaʊntɚbæləns,1
counterclockwise,,0
counterfeit,kaʊntɚfɪt,1
counterfeiter,kaʊntɚfɪtɚ,1
counterforce,kaʊntɚfɔɹs,1
counterinsurgency,kaʊntɚɪnsɝdʒənsi,1
counterintelligence,,0
countermeasure,kaʊntɚmɛʒɚ,1
countermove,kaʊntɚmuv,1
counteroffensive,,0
counterpart,kaʊntɚpɑɹt,1
counterpoint,kaʊntɚpɔɪnt,1
counterproductive,,0
countertenor,kaʊntɚtɛnɚ,1
counterterrorism,,0
counterweight,kaʊntɚweɪt,1
countess,kaʊntəs,1
countless,kaʊntləs,1
country,kʌntɹi,1
countryman,kʌntɹimən,1
countryside,kʌntɹisaɪd,1
county,kaʊnti,1
coup,ku,1
coupe,kup,1
couple,kʌpəl,1
coupling,kʌplɪŋ,1
coupon,,0
courage,kɝɪdʒ,1
courageous,,0
courageously,,0
courier,,0
course,kɔɹs,1
coursing,kɔɹsɪŋ,1
court,kɔɹt,1
courteous,kɝtiəs,1
courtesy,kɝtəsi,1
courthouse,kɔɹthaʊs,1
courtier,kɔɹtiɚ,1
courtly,kɔɹtli,1
courtroom,kɔɹtɹum,1
courtship,kɔɹtʃɪp,1
courtyard,kɔɹtjɑɹd,1
cousin,kʌzən,1
couture,kutʊɹ,1
couturier,,0
cove,koʊv,1
coven,kʌvən,1
covenant,kʌvənənt,1
cover,kʌvɚ,1
coverage,,0
coveralls,,0
covering,kʌvɚɪŋ,1
covert,koʊvɝt,1
covertly,koʊvɝtli,1
coverup,,0
covet,kʌvət,1
coveted,kʌvətɪd,1
covey,kʌvi,1
cow,kaʊ,1
coward,kaʊɚd,1
cowardice,,0
cowardly,kaʊɚdli,1
cowbell,,0
cowboy,kaʊbɔɪ,1
cowed,kaʊd,1
cower,kaʊɚ,1
cowgirl,kaʊɡɝl,1
cowl,kaʊl,1
cowlick,kaʊlɪk,1
cowling,kaʊlɪŋ,1
cowman,kaʊmən,1
cox,kɑks,1
coy,kɔɪ,1
coyly,kɔɪli,1
coyote,kaɪoʊti,1
cozy,koʊzi,1
crab,kɹæb,1
crabbed,kɹæbd,1
crabby,kɹæbi,1
crabmeat,kɹæbmit,1
crack,kɹæk,1
crackdown,kɹækdaʊn,1
cracked,kɹækt,1
cracker,kɹækɚ,1
crackerjack,kɹækɚdʒæk,1
crackers,kɹækɚz,1
crackhead,kɹækhɛd,1
cracking,kɹækɪŋ,1
crackle,kɹækəl,1
crackling,kɹæklɪŋ,1
crackpot,kɹækpɑt,1
cradle,kɹeɪdəl,1
craft,kɹæft,1
crafting,kɹæftɪŋ,1
craftsman,kɹæftsmən,1
craftsmanship,kɹæftsmənʃɪp,1
crafty,kɹæfti,1
craggy,kɹæɡi,1
cram,kɹæm,1
crammed,kɹæmd,1
cramp,kɹæmp,1
cramped,kɹæmpt,1
crampon,,0
cranberry,kɹænbɛɹi,1
crane,kɹeɪn,1
cranial,kɹeɪniəl,1
cranium,kɹeɪniəm,1
crank,kɹæŋk,1
crankshaft,kɹæŋkʃæft,1
cranky,kɹæŋki,1
cranny,kɹæni,1
crap,kɹæp,1
crappy,kɹæpi,1
crash,kɹæʃ,1
crashing,kɹæʃɪŋ,1
crass,kɹæs,1
crate,kɹeɪt,1
crater,kɹeɪtɚ,1
crave,kɹeɪv,1
craven,kɹeɪvən,1
craving,kɹeɪvɪŋ,1
crawfish,kɹɔfɪʃ,2
crawl,kɹɔl,4
crawly,,0
cray,kɹeɪ,1
crayfish,kɹeɪfɪʃ,1
crayon,kɹeɪɑn,1
craze,kɹeɪz,1
crazed,kɹeɪzd,1
crazily,kɹeɪzəli,1
craziness,kɹeɪzinəs,1
crazy,kɹeɪzi,1
creak,kɹik,1
creaky,kɹiki,1
cream,kɹim,1
creamer,kɹimɚ,1
creamery,,0
creamy,kɹimi,1
crease,kɹis,1
create,kɹieɪt,1
creation,kɹieɪʃən,1
creationism,kɹieɪʃənɪzəm,1
creative,kɹieɪtɪv,1
creatively,kɹieɪtɪvli,1
creativity,kɹieɪtɪvəti,1
creator,kɹieɪtɚ,1
creature,kɹitʃɚ,1
credence,kɹidəns,1
credential,kɹɪdɛnʃəl,1
credentials,,0
credenza,,0
credibility,,0
credible,kɹɛdəbəl,1
credibly,kɹɛdəbli,1
credit,,0
creditable,,0
creditor,,0
credits,kɹɛdɪts,1
credo,,0
credulity,,0
credulous,kɹɛdʒələs,1
creed,kɹid,1
creek,kɹik,1
creep,kɹip,1
creeping,kɹipɪŋ,1
creeps,kɹips,1
creepy,kɹipi,1
cremate,kɹimeɪt,1
cremation,,0
crematorium,kɹimətɔɹiəm,2
creme,,0
creole,kɹioʊl,1
creosote,kɹiəsoʊt,1
crepe,kɹeɪp,1
crept,kɹɛpt,1
crescendo,,0
crescent,kɹɛsənt,1
cress,kɹɛs,1
crest,kɹɛst,1
crested,kɹɛstɪd,1
crestfallen,,0
cretin,kɹitən,1
crevasse,kɹəvæs,1
crevice,,0
crew,kɹu,1
crib,kɹɪb,1
crick,kɹɪk,1
cricket,kɹɪkɪt,1
cried,kɹaɪd,1
crier,kɹaɪɚ,1
cries,,0
crime,kɹaɪm,1
criminal,kɹɪmənəl,1
criminality,,0
criminalize,kɹɪmənəlaɪz,1
criminally,kɹɪmənəli,1
criminologist,,0
criminology,,0
crimp,kɹɪmp,1
crimson,kɹɪmzən,1
cringe,kɹɪndʒ,1
cripple,kɹɪpəl,1
crippled,kɹɪpəld,1
crippling,kɹɪpəlɪŋ,1
crisis,,0
crisp,kɹɪsp,1
crisper,kɹɪspɚ,1
crisply,kɹɪspli,1
crispness,kɹɪspnəs,1
