Word,Possible Pronunciations
curran,kɝən kɚən
currencies,kɝənsiz kɚənsiz
currents,kɝənts kɚənts
curricula,kɝɪkjəlɑ kɝɪkjəlɒ kɚɪkjəlɑ kɚɪkjəlɒ
currie,kɝi kɚi
currier,kɝiɝ kɝiɚ kɚiɝ kɚiɚ
curries,kɝiz kɚiz
currying,kɝiɪŋ kɚiɪŋ
curses,kɝsɪz kɚsɪz
cursing,kɝsɪŋ kɚsɪŋ
curtailed,kɝteɪld kɚteɪld
curtains,kɝtənz kɚtənz
curves,kɝvz kɚvz
curving,kɝvɪŋ kɚvɪŋ
cush,kʌʃ
cushing,kʊʃɪŋ
cushioned,kʊʃənd
cushions,kʊʃənz
cussing,kʌsɪŋ
custodians,kəstoʊdiənz
customers,kʌstəmɝz kʌstəmɚz
customizing,kʌstəmaɪzɪŋ
cutbacks,kʌtbæks
cuter,kjutɝ kjutɚ
cutest,kjutɪst
cutler,kʌtlɝ kʌtlɚ
cutouts,kʌtaʊts
cuts,kʌts
cutters,kʌtɝz kʌtɚz
cuttings,kʌtɪŋz
cutty,kʌti
cy,saɪ
cyborgs,saɪbɔɹɡz
cycled,saɪkəld
cycles,saɪkəlz
cyclists,saɪkəlɪsts
cyclones,sɪkloʊnz
cyclops,saɪklɔps
cyclotron,saɪklətɹɑn saɪklətɹɒn
cygnus,sɪɡnəs
cylinders,sɪləndɝz sɪləndɚz
cymbals,sɪmbəlz
cynics,sɪnɪks
cynthia,sɪnθiə
cyprus,saɪpɹəs
cyrillic,sɝɪlɪk sɚɪlɪk
cyrus,saɪɹəs
cystic,sɪstɪk
cysts,sɪsts
czars,zɑɹz zɒɹz
czech,tʃɛk
czechoslovakia,tʃɛkəsloʊvɑkiə tʃɛkəsloʊvɒkiə
czechoslovakian,tʃɛtʃəsloʊvɑkiən tʃɛtʃəsloʊvɒkiən
czechs,tʃɛks
d,di
da,dɑ dɒ
dabbled,dæbəld
dabbles,dæbəlz
dabbling,dæbəlɪŋ
dace,deɪs
dacha,dɑtʃə dɒtʃə
dachshunds,dɑkshʊnts dɒkshʊnts
dacron,dækɹɑn dækɹɒn
dada,dɑdɑ dɑdɒ dɒdɑ dɒdɒ
daddies,dædiz
dade,deɪd
dads,dædz
dae,deɪ
daedalus,dɛdələs
daffodils,dæfədɪlz
daggers,dæɡɝz dæɡɚz
dagon,deɪɡən
dah,dʌ
dailies,deɪliz
dain,deɪn
dairies,dɛɹiz
dairymen,deɪɹimən
daisies,deɪziz
dak,dæk
dakota,dəkoʊtə
dakotas,dəkoʊtəz
dalai,dæleɪ
dales,deɪlz
daleth,dɑlɛθ dɒlɛθ
dali,dɑli dɒli
dallas,dæləs
dallied,dælid
dalmatian,dælmeɪʃən
dalmatians,dælmeɪʃənz
dalton,dɔltən
dama,dɑmə dɒmə
damas,dɑməz dɒməz
damascus,dəmæskəs
dames,deɪmz
damme,dæm
dammed,dæmd
damming,dæmɪŋ
damns,dæmz
damocles,dæməkliz
damon,deɪmən
dampened,dæmpənd
dampening,dæmpənɪŋ
dampers,dæmpɝz dæmpɚz
damping,dæmpɪŋ
dams,dæmz
dana,deɪnə
danced,dænst
dancers,dænsɝz dænsɚz
dances,dænsəz
dancy,dænsi
dandelions,dændəlaɪənz
dane,deɪn
danes,deɪnz
dangerousness,deɪndʒɝəsnəs deɪndʒɚəsnəs
dangers,deɪndʒɝz deɪndʒɚz
dangled,dæŋɡəld
dangler,dæŋɡəlɝ dæŋɡəlɚ
dangles,dæŋɡəlz
dangling,dæŋɡəlɪŋ
daniel,dænjəl
danish,deɪnɪʃ
danker,dæŋkɝ dæŋkɚ
danner,dænɝ dænɚ
danny,dæni
dante,dɑnteɪ dɒnteɪ
danton,dæntən
danube,dænjub
dao,daʊ
daphne,dæfni
dar,dɑɹ dɒɹ
darby,dɑɹbi dɒɹbi
darcy,dɑɹsi dɒɹsi
dared,dɛɹd
daredevils,dɛɹdɛvəlz
dares,dɛɹz
daresay,dɛɹseɪ
darjeeling,dɑɹdʒilɪŋ dɒɹdʒilɪŋ
darkening,dɑɹkənɪŋ dɒɹkənɪŋ
darker,dɑɹkɝ dɑɹkɚ dɒɹkɝ dɒɹkɚ
darkest,dɑɹkəst dɒɹkəst
darlings,dɑɹlɪŋz dɒɹlɪŋz
darned,dɑɹnd dɒɹnd
darnedest,dɑɹndɛst dɒɹndɛst
darnel,dɑɹnəl dɒɹnəl
darns,dɑɹnz dɒɹnz
darted,dɑɹtɪd dɒɹtɪd
darter,dɑɹtɝ dɑɹtɚ dɒɹtɝ dɒɹtɚ
darting,dɑɹtɪŋ dɒɹtɪŋ
darwin,dɑɹwɪn dɒɹwɪn
darwinian,dɑɹwɪniən dɒɹwɪniən
darwinism,dɑɹwɪnɪzəm dɒɹwɪnɪzəm
das,dæs
dase,deɪz
dashboards,dæʃbɔɹdz
dasher,dæʃɝ dæʃɚ
dashes,dæʃɪz
dat,dæt
databases,deɪtəbeɪsɪz
dates,deɪts
dating,deɪtɪŋ
dato,dɑtoʊ dɒtoʊ
datsun,dætsən
dau,doʊ
daughters,dɔtɝz dɔtɚz
daunted,dɔntɪd
dauphin,daʊfɪn
dave,deɪv
davenport,dævənpɔɹt
david,deɪvɪd
davies,deɪviz
davis,deɪvəs
davy,deɪvi
dawdling,dɔdlɪŋ
dawned,dɔnd
dawns,dɔnz
daws,dɔz
dayan,deɪən
daycare,deɪkɛɹ
daydreamed,deɪdɹimd
daydreams,deɪdɹimz
daylights,deɪlaɪts
daylong,deɪlɔŋ
days,deɪz
daytimes,deɪtaɪmz
dayton,deɪtən
daze,deɪz
dazzled,dæzəld
dc,disi
ddt,diditi
de,di
dea,di
deacons,dikənz
deactivated,diæktɪveɪtɪd
deadbeats,dɛdbits
deader,dɛdɝ dɛdɚ
deadheads,dɛdhɛdz
deadlier,dɛdliɝ dɛdliɚ
deadliest,dɛdliəst
deadlines,dɛdlaɪnz
deadliness,dɛdlinəs
deadweight,dɛdweɪt
deadwood,dɛdwʊd
dealers,dilɝz dilɚz
dealerships,dilɝʃɪps dilɚʃɪps
deals,dilz
deans,dinz
dearborn,dɪɹbɔɹn
dearer,dɪɹɝ dɪɹɚ
deary,dɪɹi
deaths,dɛθs
deathwatch,dɛθwɑtʃ dɛθwɒtʃ
debacles,deɪbɑkəlz deɪbɒkəlz
debasing,dɪbeɪsɪŋ
debated,dəbeɪtɪd
debaters,dəbeɪtɝz dəbeɪtɚz
debates,dəbeɪts
debating,dəbeɪtɪŋ
debbie,dɛbi
debby,dɛbi
debentures,dəbɛntʃɝz dəbɛntʃɚz
debilitated,dəbɪləteɪtɪd
deborah,dɛbɝə dɛbɚə
debriefed,dɪbɹift
debriefing,dɪbɹifɪŋ
debriefs,dɪbɹifs
debs,dɛbz
debtors,dɛtɝz dɛtɚz
debts,dɛts
debugging,dibʌɡɪŋ
debunked,dɪbʌŋkt
debunking,dɪbʌŋkɪŋ
debussy,dɪbʌsi
debutantes,dɛbjətɑnts dɛbjətɒnts
debuted,deɪbjud
debuting,deɪbjutɪŋ
debuts,deɪbjuz
dec,dɛk
decades,dɛkeɪdz
decals,dikælz
decamped,dikæmpt
decanting,dəkæntɪŋ
decapitated,dikæpəteɪtɪd
decapitations,dɪkæpɪteɪʃənz
decayed,dɪkeɪd
decaying,dɪkeɪɪŋ
decays,dəkeɪz
decedents,dɛsidənts
deceits,dɪsits
deceived,dɪsivd
deceiving,dɪsivɪŋ
decelerating,dɪsɛlɝeɪtɪŋ dɪsɛlɚeɪtɪŋ
december,dɪsɛmbɝ dɪsɛmbɚ
decentralized,dɪsɛntɹəlaɪzd
deceptions,dɪsɛpʃənz
decertified,disɝtəfaɪd disɚtəfaɪd
decibels,dɛsəbəlz
decides,dɪsaɪdz
decimals,dɛsəməlz
decimated,dɛsəmeɪtɪd
decimating,dɛsəmeɪtɪŋ
deciphered,dɪsaɪfɝd dɪsaɪfɚd
deciphering,dəsaɪfɝɪŋ dəsaɪfɚɪŋ
decisions,dɪsɪʒənz
decked,dɛkt
decker,dɛkɝ dɛkɚ
decks,dɛks
declarant,dɪklɛɹənt
declarations,dɛklɝeɪʃənz dɛklɚeɪʃənz
declaratory,dɪklɛɹətɔɹi
declares,dɪklɛɹz
declaring,dɪklɛɹɪŋ
declined,dɪklaɪnd
declines,dɪklaɪnz
declining,dɪklaɪnɪŋ
deco,dɛkoʊ
decoded,dɪkoʊdəd
decoders,dɪkoʊdɝz dɪkoʊdɚz
decoding,dɪkoʊdɪŋ
decommissioned,dikəmɪʃənd
decommissioning,dikəmɪʃənɪŋ
decomposed,dikəmpoʊzd
decomposes,dikəmpoʊzɪz
decomposing,dikəmpoʊzɪŋ
decongestants,dɪkəndʒɛstənts
decontaminated,dikəntæməneɪtɪd
decorated,dɛkɝeɪtəd dɛkɚeɪtəd
decorating,dɛkɝeɪtɪŋ dɛkɚeɪtɪŋ
decorations,dɛkɝeɪʃənz dɛkɚeɪʃənz
decorators,dɛkɝeɪtɝz dɛkɝeɪtɚz dɛkɚeɪtɝz dɛkɚeɪtɚz
decoupling,dikʌplɪŋ
decoys,dikɔɪz
decreased,dɪkɹist
decreases,dɪkɹisəz
decreed,dɪkɹid
decrees,dɪkɹiz
dedicates,dɛdɪkeɪts
dedicating,dɛdɪkeɪtɪŋ
dedo,deɪdoʊ
deduced,dɪdust
deducted,dɪdʌktɪd
deductibles,dɪdʌktəbəlz
deducting,dɪdʌktɪŋ
deductions,dɪdʌkʃənz
deducts,dɪdʌkts
dee,di
deeded,didəd
deeds,didz
deemed,dimd
deemer,dimɝ dimɚ
deems,dimz
deepened,dipənd
deepens,dipənz
deeper,dipɝ dipɚ
deepest,dipəst
deepwater,dipwɔtɝ dipwɔtɚ
deerskin,dɪɹskɪn
dees,diz
defaced,dɪfeɪst
defacing,dɪfeɪsɪŋ
defamed,dɪfeɪmd
defaulted,dɪfɔltɪd
defaulters,dɪfɔltɝz dɪfɔltɚz
defaulting,dɪfɔltɪŋ
defaults,dɪfɔlts
defeated,dɪfitəd
defeating,dɪfitɪŋ
defeats,dɪfits
defected,dɪfɛktɪd
defecting,dɪfɛktɪŋ
defections,dɪfɛkʃənz
defectors,dɪfɛktɝz dɪfɛktɚz
defects,difɛkts
defendants,dɪfɛndənts
defended,dɪfɛndəd
defenders,dɪfɛndɝz dɪfɛndɚz
defending,dɪfɛndɪŋ
defends,dɪfɛndz
defenses,dɪfɛnsəz
deferred,dɪfɝd dɪfɚd
deferring,dɪfɝɪŋ dɪfɚɪŋ
defibrillators,difɪbɹɪleɪtɝz difɪbɹɪleɪtɚz
deficiencies,dɪfɪʃənsiz
deficits,dɛfɪsɪts
defies,dɪfaɪz
defined,dɪfaɪnd
defines,dɪfaɪnz
definitions,dɛfənɪʃənz
deflating,dɪfleɪtɪŋ
deflected,dɪflɛktɪd
deflecting,dɪflɛktɪŋ
deflector,dɪflɛktɝ dɪflɛktɚ
deflectors,dɪflɛktɝz dɪflɛktɚz
deflects,dɪflɛkts
defoliants,dɪfoʊliənts
deformities,dɪfɔɹmətiz
defrauded,dɪfɹɔdɪd
defrauding,dɪfɹɔdɪŋ
defrosting,dɪfɹɔstɪŋ
defused,dɪfjuzd
defusing,dɪfjuzɪŋ
defying,dɪfaɪɪŋ
degas,deɪɡəs
degenerated,dɪdʒɛnɝeɪtɪd dɪdʒɛnɚeɪtɪd
degenerates,dɪdʒɛnɝəts dɪdʒɛnɚəts
degenerating,dɪdʒɛnɝeɪtɪŋ dɪdʒɛnɚeɪtɪŋ
degradations,dɛɡɹədeɪʃənz
degraded,dɪɡɹeɪdəd
degrades,dɪɡɹeɪdz
degreed,dɪɡɹid
degrees,dɪɡɹiz
dehumanization,dihjumənəzeɪʃən
dehumanizing,dihjumənaɪzɪŋ
deified,diəfaɪd
deigned,deɪnd
deigning,deɪnɪŋ
deigns,deɪnz
deities,diətiz
deja,didʒə
deject,dɪdʒɛkt
dekle,dɛkəl
del,dɛl
delaware,dɛləwɛɹ
delaying,dɪleɪɪŋ
delays,dɪleɪz
delegated,dɛləɡeɪtəd
delegates,dɛləɡeɪts
delegating,dɛləɡeɪtɪŋ
delegations,dɛləɡeɪʃənz
deleted,dɪlitəd
deleting,dɪlitɪŋ
delft,dɛlft
delftware,dɛlftwɛɹ
delhi,dɛli
deliberated,dɪlɪbɝeɪtɪd dɪlɪbɚeɪtɪd
deliberates,dɪlɪbɝeɪts dɪlɪbɚeɪts
deliberating,dɪlɪbɝeɪtɪŋ dɪlɪbɚeɪtɪŋ
deliberations,dɪlɪbɝeɪʃənz dɪlɪbɚeɪʃənz
delicacies,dɛlɪkəsiz
delicatessens,dɛlɪkətɛsənz
delighting,dɪlaɪtɪŋ
delights,dɪlaɪts
delilah,dəlaɪlə
deline,dɛlini
delineated,dɪlɪnieɪtɪd
delineating,dɪlɪnieɪtɪŋ
delinquencies,dɪlɪŋkwənsiz
delinquents,dɪlɪŋkwənts
delivered,dɪlɪvɝd dɪlɪvɚd
deliverers,dɪlɪvɝɝz dɪlɪvɝɚz dɪlɪvɚɝz dɪlɪvɚɚz
deliveries,dɪlɪvɝiz dɪlɪvɚiz
delivering,dɪlɪvɝɪŋ dɪlɪvɚɪŋ
delivers,dɪlɪvɝz dɪlɪvɚz
della,dɛlə
deloused,dilaʊzd
delphine,dɛlfini
deltas,dɛltəz
deluding,dɪludɪŋ
deluged,dɛljudʒd
delusions,dɪluʒənz
delved,dɛlvd
delves,dɛlvz
delving,dɛlvɪŋ
demagogues,dɛməɡɑɡz dɛməɡɒɡz
demain,dɪmeɪn
demanded,dɪmændəd
demands,dɪmændz
demeaned,dɪmind
demeanors,dɪminɝz dɪminɚz
demeans,dɪminz
dement,dəmɛnt
demerits,dimɛɹəts
demeter,dɪmitɝ dɪmitɚ
demi,dɛmi
demilitarized,dimɪlətɝaɪzd dimɪlətɚaɪzd
demobilized,dɪmoʊbəlaɪzd
democracies,dɪmɑkɹəsiz dɪmɒkɹəsiz
democrats,dɛməkɹæts
demolished,dɪmɑlɪʃt dɪmɒlɪʃt
demolishes,dɪmɑlɪʃəz dɪmɒlɪʃəz
demolishing,dɪmɑlɪʃɪŋ dɪmɒlɪʃɪŋ
demonized,dimənaɪzd
demonizing,dimənaɪzɪŋ
demons,dimənz
demonstrated,dɛmənstɹeɪtəd
demonstrates,dɛmənstɹeɪts
demonstrating,dɛmənstɹeɪtɪŋ
demonstrations,dɛmənstɹeɪʃənz
demonstrators,dɛmənstɹeɪtɝz dɛmənstɹeɪtɚz
demos,dɛmoʊz
demoted,dɪmoʊtɪd
demurred,dɪmɝd dɪmɚd
demurring,dɪmɝɪŋ dɪmɚɪŋ
demurs,dɪmɝz dɪmɚz
denarii,dɪnæɹi
denatured,dɪneɪtʃɝd dɪneɪtʃɚd
denials,dɪnaɪəlz
denied,dɪnaɪd
denies,dɪnaɪz
denigrated,dɛnɪɡɹeɪtɪd
denigrating,dɛnɪɡɹeɪtɪŋ
denizens,dɛnəzənz
denmark,dɛnmɑɹk dɛnmɒɹk
denning,dɛnɪŋ
dennis,dɛnɪs
denominated,dɪnɑməneɪtɪd dɪnɒməneɪtɪd
denominations,dɪnɔməneɪʃənz
denoted,dɪnoʊtəd
denotes,dɪnoʊts
denoting,dɪnoʊtɪŋ
denounced,dɪnaʊnst
denounces,dɪnaʊnsɪz
denouncing,dɪnaʊnsɪŋ
dens,dɛnz
denser,dɛnsɝ dɛnsɚ
densest,dɛnsəst
densities,dɛnsətiz
densitometer,dɛnsətɑmətɝ dɛnsətɑmətɚ dɛnsətɒmətɝ dɛnsətɒmətɚ
dentals,dɛntəlz
dented,dɛntɪd
denting,dɛntɪŋ
dentists,dɛntɪsts
dents,dɛnts
denuded,dɪnudɪd
denunciations,dɪnAH2nsieɪʃənz
denver,dɛnvɝ dɛnvɚ
denying,dɪnaɪɪŋ
deodorants,dioʊdɝənts dioʊdɚənts
deoxyribonucleic,diɑksiɹaɪboʊnukleɪɪk diɒksiɹaɪboʊnukleɪɪk
dep,dɛp
depardieu,dipɑɹdju dipɒɹdju
departing,dɪpɑɹtɪŋ dɪpɒɹtɪŋ
departments,dɪpɑɹtmənts dɪpɒɹtmənts
departs,dɪpɑɹts dɪpɒɹts
departures,dɪpɑɹtʃɝz dɪpɑɹtʃɚz dɪpɒɹtʃɝz dɪpɒɹtʃɚz
depended,dɪpɛndəd
dependencies,dɪpɛndənsiz
dependents,dɪpɛndənts
depending,dɪpɛndɪŋ
depends,dɪpɛndz
depicted,dɪpɪktəd
depicting,dɪpɪktɪŋ
depictions,dɪpɪkʃənz
depicts,dɪpɪkts
depletes,dɪplits
depleting,dɪplitɪŋ
deplores,dɪplɔɹz
deploring,dɪplɔɹɪŋ
deployed,dɪplɔɪd
deploying,dɪplɔɪɪŋ
deployments,dɪplɔɪmənts
deploys,dɪplɔɪz
deported,dɪpɔɹtəd
deportees,dipɔɹtiz
deporting,dɪpɔɹtɪŋ
deposed,dɪpoʊzd
deposited,dəpɑzɪtɪd dəpɒzɪtɪd
depositing,dəpɑzɪtɪŋ dəpɒzɪtɪŋ
depositions,dɛpəzɪʃənz
depositors,dəpɑzɪtɝz dəpɑzɪtɚz dəpɒzɪtɝz dəpɒzɪtɚz
deposits,dəpɑzɪts dəpɒzɪts
depots,dipoʊz
depravation,dɛpɹəveɪʃən
depreciated,dɪpɹiʃieɪtɪd
depredations,dɛpɹədeɪʃənz
depressants,dɪpɹɛsənts
depresses,dɪpɹɛsəz
depressions,dɪpɹɛʃənz
depressurized,dɪpɹɛʃɝaɪzd dɪpɹɛʃɚaɪzd
depressurizes,dɪpɹɛʃɝaɪzɪz dɪpɹɛʃɚaɪzɪz
depressurizing,dɪpɹɛʃɝaɪzɪŋ dɪpɹɛʃɚaɪzɪŋ
deprivations,dɛpɹəveɪʃənz
deprives,dɪpɹaɪvz
depriving,dɪpɹaɪvɪŋ
deprogram,dipɹoʊɡɹæm
deprogramming,dipɹoʊɡɹæmɪŋ
depths,dɛpθs
deputies,dɛpjətiz
deputized,dɛpjətaɪzd
der,dɝ dɚ
derailed,dɪɹeɪld
derailing,dɪɹeɪlɪŋ
derails,dɪɹeɪlz
derbyshire,dɝbiʃɝ dɝbiʃɚ dɚbiʃɝ dɚbiʃɚ
deregulating,diɹɛɡjəleɪtɪŋ
derelicts,dɛɹəlɪkts
derided,dɪɹaɪdɪd
derivatives,dɝɪvətɪvz dɚɪvətɪvz
derived,dɝaɪvd dɚaɪvd
derives,dɝaɪvz dɚaɪvz
deriving,dɝaɪvɪŋ dɚaɪvɪŋ
derk,dɝk dɚk
derma,dɝmə dɚmə
dermatological,dɝmətəlɑdʒɪkəl dɝmətəlɒdʒɪkəl dɚmətəlɑdʒɪkəl dɚmətəlɒdʒɪkəl
dermatologists,dɝmətɑlədʒɪsts dɝmətɒlədʒɪsts dɚmətɑlədʒɪsts dɚmətɒlədʒɪsts
dern,dɝn dɚn
derringer,dɛɹəndʒɝ dɛɹəndʒɚ
derry,dɛɹi
des,dɛs
desalinization,diseɪlɪnəzeɪʃən
descartes,deɪkɑɹt deɪkɒɹt
descendants,dɪsɛndənts
descended,dɪsɛndəd
descendent,dɪsɛndənt
descendents,dɪsɛndənts
descends,dɪsɛndz
descents,dɪsɛnts
described,dɪskɹaɪbd
describes,dɪskɹaɪbz
describing,dɪskɹaɪbɪŋ
descriptions,dɪskɹɪpʃənz
desecrated,dɛzəkɹeɪtɪd
desecrates,dɛzəkɹeɪts
desecrations,dɛsəkɹeɪʃənz
desegregated,dɪsɛɡɹɪɡeɪtɪd
desensitized,dɪsɛnsətaɪzd
desensitizing,dɪsɛnsətaɪzɪŋ
deserters,dɛzɝtɝz dɛzɝtɚz dɛzɚtɝz dɛzɚtɚz
deserting,dɛzɝtɪŋ dɛzɚtɪŋ
desertions,dɪzɝʃənz dɪzɚʃənz
deserts,dɛzɝts dɛzɚts
deserves,dɪzɝvz dɪzɚvz
desiderata,deɪzɪdɝɑtə deɪzɪdɝɒtə deɪzɪdɚɑtə deɪzɪdɚɒtə
designated,dɛzɪɡneɪtɪd
designates,dɛzɪɡneɪts
designating,dɛzɪɡneɪtɪŋ
designations,dɛzəɡneɪʃənz
designed,dɪzaɪnd
designee,dɛzɪɡni
designers,dɪzaɪnɝz dɪzaɪnɚz
designs,dɪzaɪnz
desires,dɪzaɪɝz dɪzaɪɚz
desiring,dɪzaɪɝɪŋ dɪzaɪɚɪŋ
desks,dɛsks
despairs,dɪspɛɹz
desperadoes,dɛspɝɑdoʊz dɛspɝɒdoʊz dɛspɚɑdoʊz dɛspɚɒdoʊz
despised,dɪspaɪzd
despises,dɪspaɪzɪz
despising,dɪspaɪzɪŋ
desserts,dɪzɝts dɪzɚts
destabilized,dɪsteɪbəlaɪzd
destin,dɛstɪn
destinations,dɛstəneɪʃənz
destinies,dɛstəniz
destroyed,dɪstɹɔɪd
destroyers,dɪstɹɔɪɝz dɪstɹɔɪɚz
destroying,dɪstɹɔɪɪŋ
destroys,dɪstɹɔɪz
destruct,dɪstɹʌkt
destructed,dɪstɹʌktɪd
detailer,diteɪlɝ diteɪlɚ
detailing,dɪteɪlɪŋ
details,dɪteɪlz
detained,dɪteɪnd
detainees,dɪteɪniz
detaining,dɪteɪnɪŋ
detected,dɪtɛktəd
detecting,dɪtɛktɪŋ
detectives,dɪtɛktɪvz
detectors,dɪtɛktɝz dɪtɛktɚz
detects,dɪtɛkts
detente,deɪtɑnt deɪtɒnt
detentions,dɪtɛnʃənz
detergents,dɪtɝdʒənts dɪtɚdʒənts
deteriorated,dɪtɪɹiɝeɪtɪd dɪtɪɹiɚeɪtɪd
deteriorates,dɪtɪɹiɝeɪts dɪtɪɹiɚeɪts
deteriorating,dɪtɪɹiɝeɪtɪŋ dɪtɪɹiɚeɪtɪŋ
determinants,dɪtɝmənənts dɪtɚmənənts
determinations,dɪtɝmɪneɪʃənz dɪtɚmɪneɪʃənz
determines,dətɝmənz dətɚmənz
determining,dɪtɝmənɪŋ dɪtɚmənɪŋ
deterred,dɪtɝd dɪtɚd
deterrents,dɪtɝənts dɪtɚənts
deterring,dɪtɝɪŋ dɪtɚɪŋ
detested,dɪtɛstɪd
dethroned,dɪθɹoʊnd
detonated,dɛtəneɪtəd
detonating,dɛtəneɪtɪŋ
detonations,dɛtəneɪʃənz
detonators,dɛtəneɪtɝz dɛtəneɪtɚz
detoured,ditʊɹd
detours,dɪtʊɹz
detract,dɪtɹækt
detractors,dɪtɹæktɝz dɪtɹæktɚz
detroit,dɪtɹɔɪt
deuterons,dutɝɑnz dutɝɒnz dutɚɑnz dutɚɒnz
deutsche,dɔɪtʃ
deutschland,dɔɪtʃlænd
deux,du
dev,dɛv
deva,deɪvə
devall,deɪvɑl deɪvɒl
devaluate,dɪvæljueɪt
devaluated,dɪvæljueɪtɪd
devalued,dɪvæljud
developers,dɪvɛləpɝz dɪvɛləpɚz
developmentally,dɪvɛləpmɛnəli
developments,dɪvɛləpmənts
develops,dɪvɛləps
deviants,diviənts
deviated,divieɪtɪd
deviates,divieɪts
deviating,divieɪtɪŋ
deviations,divieɪʃənz
devices,dɪvaɪsəz
devils,dɛvəlz
devised,dɪvaɪzd
devises,dɪvaɪzɪz
devising,dɪvaɪzɪŋ
devoid,dɪvɔɪd
devolved,dɪvɑlvd dɪvɒlvd
devon,dɛvən
devonian,dɪvoʊniən
devonshire,dɪvɑnʃaɪɹ dɪvɒnʃaɪɹ
devote,dɪvoʊt
devotees,dɛvətiz
devotes,dɪvoʊts
devoting,dɪvoʊtɪŋ
devoto,dɪvoʊtoʊ
devoured,dɪvaʊɝd dɪvaʊɚd
devours,dɪvaʊɝz dɪvaʊɚz
dewar,duɝ duɚ
dewitt,dɛwɪt
dews,duz
dexter,dɛkstɝ dɛkstɚ
dey,deɪ
dharma,dɑɹmə dɒɹmə
dhole,doʊl
dhows,daʊz
di,di
dia,diə
diabetics,daɪəbɛtɪks
diablo,daɪæbloʊ
diagnosed,daɪəɡnoʊst
diagnoses,daɪəɡnoʊsiz
diagnosing,daɪəɡnoʊsɪŋ
diagnostics,daɪəɡnɑstɪks daɪəɡnɒstɪks
diagonals,daɪæɡənəlz
diagrammed,daɪəɡɹæmd
diagrams,daɪəɡɹæmz
dialects,daɪəlɛkts
dialed,daɪəld
dialing,daɪəlɪŋ
dialog,daɪəlɔɡ
dialogues,daɪəlɔɡz
dials,daɪəlz
diamante,daɪəmɑnti daɪəmɒnti
diamonds,daɪməndz
dian,daɪən
diana,daɪænə
diane,daɪæn
dianetics,daɪənɛtɪks
diapering,daɪpɝɪŋ daɪpɚɪŋ
diapers,daɪəpɝz daɪəpɚz
diaries,daɪɝiz daɪɚiz
dias,daɪəz
diatoms,daɪətɑmz daɪətɒmz
diatribes,daɪətɹaɪbz
dibs,dɪbz
diced,daɪst
dichromate,daɪkɹoʊmeɪt
dicier,daɪsiɝ daɪsiɚ
dicing,daɪsɪŋ
dickens,dɪkənz
dickensian,dɪkɛnziən
dickering,dɪkɝɪŋ dɪkɚɪŋ
dickie,dɪki
dicks,dɪks
dictaphone,dɪktəfoʊn
dictated,dɪkteɪtɪd
dictates,dɪkteɪts
dictating,dɪkteɪtɪŋ
dictators,dɪkteɪtɝz dɪkteɪtɚz
dictatorships,dɪkteɪtɝʃɪps dɪkteɪtɚʃɪps
dictionaries,dɪkʃənɛɹiz
diddy,dɪdi
dido,daɪdoʊ
died,daɪd
diego,dieɪɡoʊ
diel,dil
diem,dim
dienes,dinɛz
dier,diɝ diɚ
dies,daɪz
diesels,dizəlz
dieters,daɪətɝz daɪətɚz
dietetic,daɪətɛtɪk
dietician,daɪətɪʃən
dieting,daɪətɪŋ
diets,daɪɪts
differed,dɪfɝd dɪfɚd
differences,dɪfɝənsɪz dɪfɚənsɪz
differentials,dɪfɝɛnʃəlz dɪfɚɛnʃəlz
differentiates,dɪfɝɛnʃieɪts dɪfɚɛnʃieɪts
differentiating,dɪfɝɛnʃieɪtɪŋ dɪfɚɛnʃieɪtɪŋ
differing,dɪfɝɪŋ dɪfɚɪŋ
differs,dɪfɝz dɪfɚz
difficulties,dɪfəkəltiz
diffused,dɪfjuzd
diffuses,dɪfjuzəz
diffusing,dɪfjuzɪŋ
digested,daɪdʒɛstɪd
digesting,daɪdʒɛstɪŋ
digests,daɪdʒɛsts
diggers,dɪɡɝz dɪɡɚz
digging,dɪɡɪŋ
digitized,dɪdʒətaɪzd
digitizing,dɪdʒətaɪzɪŋ
digits,dɪdʒəts
dignitaries,dɪɡnətɛɹiz
digresses,daɪɡɹɛsɪz
digressing,daɪɡɹɛsɪŋ
digs,dɪɡz
dikes,daɪks
dildos,dɪldoʊz
dilemmas,dəlɛməz
dilling,dɪlɪŋ
dills,dɪlz
dillydally,dɪlidæli
diluted,daɪlutəd
dilutes,daɪluts
diluting,daɪlutɪŋ
dimensions,dɪmɛnʃənz
dimer,daɪmɝ daɪmɚ
dimes,daɪmz
diminishes,dɪmɪnɪʃɪz
diminishing,dɪmɪnɪʃɪŋ
diminishment,dɪmɪnɪʃmənt
dimmed,dɪmd
dimmers,dɪmɝz dɪmɚz
dimming,dɪmɪŋ
dimples,dɪmpəlz
dims,dɪmz
dinars,daɪnɝz daɪnɚz
dined,daɪnd
diners,daɪnɝz daɪnɚz
dines,daɪnz
dinger,dɪŋɝ dɪŋɚ
dingle,dɪŋɡəl
dingman,dɪŋmən
dings,dɪŋz
dingus,dɪŋɡɪs
dining,daɪnɪŋ
dinners,dɪnɝz dɪnɚz
dinning,dɪnɪŋ
dinosaurs,daɪnəsɔɹz
dioceses,daɪəsiz
diodes,daɪoʊdz
dionysian,daɪənɪsiən
dioxins,daɪɑksɪnz daɪɒksɪnz
diplomas,dɪploʊməz
diplomats,dɪpləmæts
dipped,dɪpt
