,CMU Word,CMU IPAs,Cambridge IPAs,CMU (Toolkit),Cambridge (Toolkit),Matched Pronunciations (IPA),Matched Pronunciations (Toolkit),Pronunciation Matches,Alternate Pronunciation,Root From Cambridge,Missing From Cambridge,Top Pronunciation (ALL),Top Pronunciation (ALT ONLY)
1964,antigovernment,"['æntiɡʌvɝmənt', 'æntiɡʌvɚmənt']","['æntiɡʌvɚnmənt', 'æntiɡʌvɚnmənt']",['@ntig^v3rment'],['@ntig^v3rnment'],[],[],[],1,1,0,1,1
1965,antigovernment,"['æntaɪɡʌvɝmənt', 'æntaɪɡʌvɚmənt']","['æntiɡʌvɚnmənt', 'æntiɡʌvɚnmənt']",['@nt5g^v3rment'],['@ntig^v3rnment'],[],[],[],1,1,0,0,0
1966,antihistamine,['æntihɪstəmən'],"['æntihɪstəmɪn', 'æntihɪstəmin', 'æntɑɪ', 'mən']",['@ntih1stemen'],"['@ntih1stemin', '@nta1', 'men', '@ntih1stem1n']",[],[],[],0,0,0,1,0
1967,antihistamines,['æntihɪstəmənz'],"['æntihɪstəmɪn', 'æntihɪstəmin', 'æntɑɪ', 'mən']",['@ntih1stemenz'],"['@ntih1stemin', '@nta1', 'men', '@ntih1stem1n']",[],[],[],0,1,0,1,0
1969,antimatter,"['ætaɪmætɝ', 'ætaɪmætɚ']","['æntimætɚ', 'æntimætəɹ', 'æntɑɪ']",['@t5m@t3r'],"['@ntim@t3r', '@ntim@ter', '@nta1']",[],[],[],0,0,0,1,0
1970,antimissile,['æntaɪmɪsəl'],['æntimɪsəl'],['@nt5m1sel'],['@ntim1sel'],[],[],[],0,1,0,1,0
1971,antioxidant,"['æntiɑksədənt', 'æntiɒksədənt']","['æntiɑksɪdənt', 'æntiɑksɪdənt', 'æntɑɪ']",['@ntiaksedent'],"['@ntiaks1dent', '@nta1']",[],[],[],0,0,0,1,0
1972,antioxidants,"['æntiɑksədənts', 'æntiɒksədənts']","['æntiɑksɪdənt', 'æntiɑksɪdənt', 'æntɑɪ']",['@ntiaksedents'],"['@ntiaks1dent', '@nta1']",[],[],[],0,1,0,1,0
1975,antiquated,['æntəkweɪtəd'],"['æntəkweɪtɪd', 'æntɪkweɪtɪd']",['@ntekw8ted'],"['@nt1kw8t1d', '@ntekw8t1d']",[],[],[],1,0,0,1,1
1978,antiques,['æntiks'],"['æntik', 'æntik', 'æntik']",['@ntiks'],['@ntik'],[],[],[],0,1,0,1,0
1979,antiquities,['æntɪkwətiz'],"['æntɪkwəti', 'æntɪkwəti', 'æntɪkwɪti']",['@nt1kwetiz'],"['@nt1kweti', '@nt1kw1ti']",[],[],[],0,1,0,1,0
1981,antiseptic,['æntəsɛptɪk'],"['æntisɛptɪk', 'æntɪsɛptɪk']",['@ntesEpt1k'],"['@nt1sEpt1k', '@ntisEpt1k']",[],[],[],0,0,0,1,0
1982,antisocial,['æntɪsoʊʃəl'],"['æntisoʊʃəl', 'æntisoʊʃəl', 'æntisoʊʃəl', 'æntɑɪ', 'æntisoʊʃəl', 'æntɑɪ']",['@nt1soSel'],"['@ntisoSel', '@nta1']",[],[],[],1,0,0,1,1
1983,antisocial,['æntaɪsoʊʃəl'],"['æntisoʊʃəl', 'æntisoʊʃəl', 'æntisoʊʃəl', 'æntɑɪ', 'æntisoʊʃəl', 'æntɑɪ']",['@nt5soSel'],"['@ntisoSel', '@nta1']",[],[],[],1,0,0,0,0
1985,antithesis,['æntɪθəsəs'],"['æntɪθəsɪs', 'æntɪθəsɪs', 'æntɪθəsɪs', 'æntɪθəsɪs']",['@nt1Teses'],['@nt1Tes1s'],[],[],[],0,0,0,1,0
1987,antitoxin,"['æntitɑksən', 'æntitɒksən']",['æntitɑksɪn'],['@ntitaksen'],['@ntitaks1n'],[],[],[],0,0,0,1,0
1988,antitrust,['æntaɪtɹʌst'],"['æntitɹʌst', 'æntitɹʌst', 'æntɑɪ']",['@nt5tr^st'],"['@ntitr^st', '@nta1']",[],[],[],0,0,0,1,0
1990,antiwar,['æntaɪwɔɹ'],"['æntiwɔɹ', 'æntɑɪ']",['@nt5wcr'],"['@ntiwcr', '@nta1']",[],[],[],1,0,0,1,1
1993,antlers,"['æntlɝz', 'æntlɚz']",['æntləɹz'],['@ntl3rz'],['@ntlerz'],[],[],[],0,0,0,1,0
1997,ants,['ænts'],"['ænt', 'ənt', 'ænt']",['@nts'],"['@nt', 'ent']",[],[],[],0,1,0,1,0
2001,anvil,['ænvəl'],"['ænvɪl', 'ænvɪl']",['@nvel'],['@nv1l'],[],[],[],0,0,0,1,0
2002,anxieties,['æŋzaɪətiz'],"['æŋzaɪəti', 'æŋzaɪəti', 'æŋzaɪəti', 'æŋzaɪəti', 'æŋzɑɪɪti']",['@Nz5etiz'],"['@Nz5eti', '@Nza11ti']",[],[],[],0,1,0,1,0
2005,anxious,['æŋʃəs'],"['æŋkʃəs', 'æŋkʃəs', 'æŋkʃəs']",['@NSes'],['@NkSes'],[],[],[],1,0,0,0,0
2008,anybody,['ɛnibədi'],"['ɛnibɑdi', 'ɛnibɑdi', 'bədi']",['Enibedi'],"['bedi', 'Enibadi']",[],[],[],0,0,0,1,0
2011,anyone,['ɛniwən'],"['ɛniwʌn', 'ɛniwʌn', 'ɛniwʌn', 'wən']",['Eniwen'],"['Eniw^n', 'wen']",[],[],[],1,0,0,1,1
2012,anyone,['ɛniwən'],"['ɛniwʌn', 'ɛniwʌn', 'ɛniwʌn', 'wən']",['Eniwen'],"['Eniw^n', 'wen']",[],[],[],1,0,0,0,0
2019,anywhere,['ɛnihwɛɹ'],"['ɛniwɛɹ', 'ɛniwɛɹ', 'ɛniwɛɹ', 'ɛnihwɛəɹ', 'wɛəɹ', 'ɛnihwɛəɹ', 'wɛəɹ']",['EnihwEr'],"['EniwEr', 'wEer', 'EnihwEer']",[],[],[],1,0,0,0,0
2025,apaches,['əpætʃiz'],['əpætʃi'],['ep@Ciz'],['ep@Ci'],[],[],[],0,1,0,1,0
2028,apartheid,"['əpɑɹtaɪd', 'əpɒɹtaɪd']","['əpɑɹtaɪt', 'əpɑɹtaɪt', 'əpɑɹtɑɪt', 'teɪt']",['epart5d'],"['epart5t', 'eparta1t', 't8t']",[],[],[],1,0,0,0,0
2038,apes,['eɪps'],"['eɪp', 'eɪp']",['8ps'],['8p'],[],[],[],0,1,0,1,0
2041,aphid,['æfɪd'],['eɪfɪd'],['@f1d'],['8f1d'],[],[],[],1,0,0,1,1
2043,aphids,['æfɪdz'],['eɪfɪd'],['@f1dz'],['8f1d'],[],[],[],1,1,0,1,1
2044,aphids,['eɪfɪdz'],['eɪfɪd'],['8f1dz'],['8f1d'],[],[],[],1,1,0,0,0
2046,aphorisms,"['æfɝɪzəmz', 'æfɚɪzəmz']","['æfɚɪzəm', 'æfəɹɪzəm']",['@f3r1zemz'],"['@fer1zem', '@f3r1zem']",[],[],[],0,1,0,1,0
2047,aphrodisiac,['æfɹoʊdiziæk'],['æfɹədɪzdiʒæk'],['@frodizi@k'],['@fred1zdiZ@k'],[],[],[],0,0,0,1,0
2050,aping,['eɪpɪŋ'],['eɪp'],['8p1N'],['8p'],[],[],[],0,1,0,1,0
2063,apologised,"['əpɑlədʒaɪzd', 'əpɒlədʒaɪzd']","['əpɑlədʒaɪz', 'əpɑlədʒɑɪz']",['epaleG5zd'],"['epaleGa1z', 'epaleG5z']",[],[],[],0,1,0,1,0
2064,apologising,"['əpɑlədʒaɪzɪŋ', 'əpɒlədʒaɪzɪŋ']","['əpɑlədʒaɪz', 'əpɑlədʒɑɪz']",['epaleG5z1N'],"['epaleGa1z', 'epaleG5z']",[],[],[],0,1,0,1,0
2066,apologists,"['əpɑlədʒɪsts', 'əpɒlədʒɪsts']",['əpɑlədʒɪst'],['epaleG1sts'],['epaleG1st'],[],[],[],0,1,0,1,0
2068,apologized,"['əpɑlədʒaɪzd', 'əpɒlədʒaɪzd']",['əpɑlədʒaɪz'],['epaleG5zd'],['epaleG5z'],[],[],[],0,1,0,1,0
2069,apologizes,"['əpɑlədʒaɪzɪz', 'əpɒlədʒaɪzɪz']","['əpɑlədʒaɪz', 'əpɑlədʒɑɪz']",['epaleG5z1z'],"['epaleGa1z', 'epaleG5z']",[],[],[],0,1,0,1,0
2070,apologizing,"['əpɑlədʒaɪzɪŋ', 'əpɒlədʒaɪzɪŋ']",['əpɑlədʒaɪz'],['epaleG5z1N'],['epaleG5z'],[],[],[],0,1,0,1,0
2074,apostate,['əpɔsteɪt'],['əpɑsteɪt'],['epcst8t'],['epast8t'],[],[],[],0,0,0,1,0
2075,apostle,['əpɔsəl'],"['əpɑsəl', 'əpɑsəl']",['epcsel'],['epasel'],[],[],[],0,0,0,1,0
2078,apostrophes,"['əpɑstɹəfiz', 'əpɒstɹəfiz']","['əpɑstɹəfi', 'əpɑstɹəfi', 'əpɑstɹəfi']",['epastrefiz'],['epastrefi'],[],[],[],0,1,0,1,0
2080,apotheosis,"['əpɑθioʊsəs', 'əpɒθioʊsəs']",['əpɑθioʊsɪs'],['epaTioses'],['epaTios1s'],[],[],[],0,0,0,1,0
2082,appalachia,['æpəlætʃiə'],['æpəleɪtʃə'],['@pel@Cie'],['@pel8Ce'],[],[],[],0,0,0,1,0
2084,appalachian,['æpəleɪʃən'],['æpəleɪtʃən'],['@pel8Sen'],['@pel8Cen'],[],[],[],1,0,0,0,0
2085,appalachian,['æpəlætʃən'],['æpəleɪtʃən'],['@pel@Cen'],['@pel8Cen'],[],[],[],1,0,0,0,0
2086,appalachians,['æpəleɪtʃənz'],['æpəleɪtʃən'],['@pel8Cenz'],['@pel8Cen'],[],[],[],1,1,0,1,1
2087,appalachians,['æpəleɪʃənz'],['æpəleɪtʃən'],['@pel8Senz'],['@pel8Cen'],[],[],[],1,1,0,0,0
2088,appalachians,['æpəlætʃənz'],['æpəleɪtʃən'],['@pel@Cenz'],['@pel8Cen'],[],[],[],1,1,0,0,0
2089,appalled,['əpɔld'],['əpɑld'],['epcld'],['epald'],[],[],[],0,0,0,1,0
2090,appalling,['əpɔlɪŋ'],"['əpɑlɪŋ', 'əpɑlɪŋ']",['epcl1N'],['epal1N'],[],[],[],0,0,0,1,0
2091,appallingly,['əpɔlɪŋli'],"['əpɑlɪŋli', 'əpɑlɪŋli']",['epcl1Nli'],['epal1Nli'],[],[],[],0,0,0,1,0
2092,appalls,['əpɔlz'],"['əpɑl', 'əpɔl']",['epclz'],"['epal', 'epcl']",[],[],[],0,1,0,1,0
2093,apparatchik,"['æpɝætʃɪk', 'æpɚætʃɪk']",['ɑpəɹɑtʃɪk'],['@p3r@C1k'],['aperaC1k'],[],[],[],0,0,0,1,0
2094,apparatus,"['æpɝætəs', 'æpɚætəs']","['æpəɹætəs', 'æpəɹætəs', 'æpəɹætəs', 'æpəɹætəs']",['@p3r@tes'],['@per@tes'],[],[],[],0,0,0,1,0
2099,apparition,"['æpɝɪʃən', 'æpɚɪʃən']","['æpəɹɪʃən', 'æpəɹɪʃən']",['@p3r1Sen'],['@per1Sen'],[],[],[],0,0,0,1,0
2100,apparitions,"['æpɝɪʃənz', 'æpɚɪʃənz']","['æpəɹɪʃən', 'æpəɹɪʃən']",['@p3r1Senz'],['@per1Sen'],[],[],[],0,1,0,1,0
2102,appealed,['əpild'],"['əpil', 'əpil', 'əpil', 'əpil']",['epild'],['epil'],[],[],[],0,1,0,1,0
2104,appeals,['əpilz'],"['əpil', 'əpil', 'əpil', 'əpil', 'əpil', 'əpil', 'əpil']",['epilz'],['epil'],[],[],[],0,1,0,1,0
2107,appearances,['əpɪɹənsəz'],['əpɪəɹənsəz'],['ep1rensez'],['ep1erensez'],[],[],[],0,0,0,1,0
2108,appeared,['əpɪɹd'],"['əpɪɹ', 'əpɪɹ', 'əpɪɹ', 'əpɪɹ', 'əpɪɹ', 'əpɪɹ']",['ep1rd'],['ep1r'],[],[],[],0,1,0,1,0
2109,appearing,['əpɪɹɪŋ'],"['əpɪɹ', 'əpɪɹ', 'əpɪɹ', 'əpɪɹ', 'əpɪɹ', 'əpɪɹ']",['ep1r1N'],['ep1r'],[],[],[],0,1,0,1,0
2110,appears,['əpɪɹz'],"['əpɪɹ', 'əpɪɹ', 'əpɪɹ', 'əpɪɹ', 'əpɪɹ', 'əpɪɹ', 'əpɪəɹ', 'əpɪəɹ', 'əpɪəɹ', 'əpɪəɹ']",['ep1rz'],"['ep1r', 'ep1er']",[],[],[],0,1,0,1,0
2112,appeased,['əpizd'],"['əpiz', 'əpiz']",['epizd'],['epiz'],[],[],[],0,1,0,1,0
2114,appeasing,['əpizɪŋ'],"['əpiz', 'əpiz']",['epiz1N'],['epiz'],[],[],[],0,1,0,1,0
2116,appellate,['əpɛlɪt'],"['əpɛlət', 'əpɛlət']",['epEl1t'],['epElet'],[],[],[],1,0,0,1,1
2117,appellate,['əpɛleɪt'],"['əpɛlət', 'əpɛlət']",['epEl8t'],['epElet'],[],[],[],1,0,0,0,0
2120,appendages,['əpɛndɪdʒɪz'],"['əpɛndɪdʒ', 'əpɛndɪdʒ', 'əpɛndɪdʒ']",['epEnd1G1z'],['epEnd1G'],[],[],[],0,1,0,1,0
2121,appendectomies,['æpəndɛktəmiz'],['æpɛndɛktəmi'],['@pendEktemiz'],['@pEndEktemi'],[],[],[],0,1,0,1,0
2122,appendectomy,['æpɪndɛktəmi'],['æpɛndɛktəmi'],['@p1ndEktemi'],['@pEndEktemi'],[],[],[],0,0,0,1,0
2123,appended,['əpɛndɪd'],['əpɛnd'],['epEnd1d'],['epEnd'],[],[],[],0,1,0,1,0
2124,appendicitis,['əpɛndɪsaɪtɪz'],"['əpɛndəsaɪtəs', 'əpɛndəsɑɪtəs']",['epEnd1s5t1z'],"['epEndes5tes', 'epEndesa1tes']",[],[],[],0,0,0,1,0
2128,appetites,['æpətaɪts'],"['æpətaɪt', 'æpətaɪt', 'æpɪtɑɪt']",['@pet5ts'],"['@p1ta1t', '@pet5t']",[],[],[],0,1,0,1,0
2130,appetizers,"['æpətaɪzɝz', 'æpətaɪzɚz']","['æpətaɪzɚ', 'æpətaɪzɚ', 'æpɪtɑɪzəɹ']",['@pet5z3rz'],"['@pet5z3r', '@p1ta1zer']",[],[],[],0,1,0,1,0
2131,appetizing,['æpɪtaɪzɪŋ'],"['æpətaɪzɪŋ', 'æpɪtɑɪzɪŋ']",['@p1t5z1N'],"['@pet5z1N', '@p1ta1z1N']",[],[],[],0,0,0,1,0
2133,applauded,['əplɔdɪd'],"['əplɑd', 'əplɑd']",['eplcd1d'],['eplad'],[],[],[],0,1,0,1,0
2134,applauding,['əplɔdɪŋ'],"['əplɑd', 'əplɑd']",['eplcd1N'],['eplad'],[],[],[],0,1,0,1,0
2135,applauds,['əplɔdz'],"['əplɑd', 'əplɑd', 'əplɔd', 'əplɔd']",['eplcdz'],"['eplad', 'eplcd']",[],[],[],0,1,0,1,0
2138,apples,['æpəlz'],"['æpəl', 'æpəl']",['@pelz'],['@pel'],[],[],[],0,1,0,1,0
2141,appliances,['əplaɪənsɪz'],"['əplaɪəns', 'əplɑɪəns']",['epl5ens1z'],"['epla1ens', 'epl5ens']",[],[],[],0,1,0,1,0
2142,applicability,['æpləkəbɪləti'],['æplɪkəbɪləti'],['@plekeb1leti'],['@pl1keb1leti'],[],[],[],0,0,0,1,0
2143,applicable,['æpləkəbəl'],['əplɪkəbəl'],['@plekebel'],['epl1kebel'],[],[],[],0,0,0,1,0
2145,applicants,['æplɪkənts'],"['æpləkənt', 'æplɪkənt']",['@pl1kents'],"['@plekent', '@pl1kent']",[],[],[],0,1,0,1,0
2147,applications,['æpləkeɪʃənz'],"['æpləkeɪʃən', 'æpləkeɪʃən', 'æpləkeɪʃən', 'æpləkeɪʃən', 'æpləkeɪʃən', 'æpləkeɪʃən', 'æplɪkeɪʃən', 'æplɪkeɪʃən', 'æplɪkeɪʃən']",['@plek8Senz'],"['@plek8Sen', '@pl1k8Sen']",[],[],[],0,1,0,1,0
2150,applies,['əplaɪz'],"['əplaɪ', 'əplaɪ', 'əplaɪ', 'əplaɪ', 'əplaɪ', 'əplɑɪ', 'əplɑɪ', 'əplɑɪ', 'əplɑɪ', 'əplɑɪ']",['epl5z'],"['epl5', 'epla1']",[],[],[],0,1,0,1,0
2154,applying,['əplaɪɪŋ'],"['əplaɪ', 'əplaɪ', 'əplaɪ', 'əplaɪ', 'əplaɪ']",['epl51N'],['epl5'],[],[],[],0,1,0,1,0
2156,appointed,['əpɔɪntəd'],"['əpɔɪntɪd', 'əpɔɪntɪd', 'əpɔɪntɪd']",['ep2nted'],['ep2nt1d'],[],[],[],1,0,0,1,1
2160,appointees,['əpɔɪntiz'],"['əpɔɪnti', 'əpɔɪnti', 'əpɔɪnti']",['ep2ntiz'],['ep2nti'],[],[],[],1,1,0,1,1
2161,appointees,['əpɔɪntiz'],"['əpɔɪnti', 'əpɔɪnti', 'əpɔɪnti']",['ep2ntiz'],['ep2nti'],[],[],[],1,1,0,0,0
2162,appointing,['əpɔɪntɪŋ'],"['əpɔɪnt', 'əpɔɪnt']",['ep2nt1N'],['ep2nt'],[],[],[],0,1,0,1,0
2164,appointments,['əpɔɪntmənts'],"['əpɔɪntmənt', 'əpɔɪntmənt', 'əpɔɪntmənt', 'əpɔɪntmənt', 'əpɔɪntmənt']",['ep2ntments'],['ep2ntment'],[],[],[],0,1,0,1,0
2165,appoints,['əpɔɪnts'],"['əpɔɪnt', 'əpɔɪnt', 'əpɔɪnt']",['ep2nts'],['ep2nt'],[],[],[],0,1,0,1,0
2166,apportioned,['əpɔɹʃənd'],['əpɔɹʃən'],['epcrSend'],['epcrSen'],[],[],[],0,1,0,1,0
2168,appraisals,['əpɹeɪzəlz'],"['əpɹeɪzəl', 'əpɹeɪzəl']",['epr8zelz'],['epr8zel'],[],[],[],0,1,0,1,0
2170,appraised,['əpɹeɪzd'],"['əpɹeɪz', 'əpɹeɪz']",['epr8zd'],['epr8z'],[],[],[],0,1,0,1,0
2172,appraisers,"['əpɹeɪzɝz', 'əpɹeɪzɚz']",['əpɹeɪzɚ'],['epr8z3rz'],['epr8z3r'],[],[],[],0,1,0,1,0
2173,appraising,['əpɹeɪzɪŋ'],"['əpɹeɪz', 'əpɹeɪz']",['epr8z1N'],['epr8z'],[],[],[],0,1,0,1,0
2177,appreciated,['əpɹiʃieɪtɪd'],"['əpɹiʃieɪt', 'əpɹiʃieɪt', 'əpɹiʃieɪt', 'əpɹiʃieɪt', 'əpɹiʃieɪt']",['epriSi8t1d'],['epriSi8t'],[],[],[],0,1,0,1,0
2178,appreciates,['əpɹiʃieɪts'],"['əpɹiʃieɪt', 'əpɹiʃieɪt', 'əpɹiʃieɪt', 'əpɹiʃieɪt', 'əpɹiʃieɪt', 'əpɹiʃieɪt', 'əpɹiʃieɪt', 'əpɹiʃieɪt']",['epriSi8ts'],['epriSi8t'],[],[],[],0,1,0,1,0
2179,appreciating,['əpɹiʃieɪtɪŋ'],"['əpɹiʃieɪt', 'əpɹiʃieɪt', 'əpɹiʃieɪt', 'əpɹiʃieɪt', 'əpɹiʃieɪt']",['epriSi8t1N'],['epriSi8t'],[],[],[],0,1,0,1,0
2181,appreciative,['əpɹiʃieɪtɪv'],"['əpɹiʃətɪv', 'əpɹiʃətɪv', 'ʃiə']",['epriSi8t1v'],"['epriSet1v', 'Sie']",[],[],[],1,0,0,1,1
2182,appreciative,['əpɹiʃjətɪv'],"['əpɹiʃətɪv', 'əpɹiʃətɪv', 'ʃiə']",['epriSjet1v'],"['epriSet1v', 'Sie']",[],[],[],1,0,0,0,0
2183,appreciatively,['əpɹiʃieɪtɪvli'],['əpɹiʃətɪvli'],['epriSi8t1vli'],['epriSet1vli'],[],[],[],1,0,0,1,1
2184,appreciatively,['əpɹiʃjətɪvli'],['əpɹiʃətɪvli'],['epriSjet1vli'],['epriSet1vli'],[],[],[],1,0,0,0,0
2186,apprehended,['æpɹɪhɛndəd'],"['æpɹəhɛnd', 'æpɹəhɛnd']",['@pr1hEnded'],['@prehEnd'],[],[],[],0,1,0,1,0
2187,apprehending,['æpɹɪhɛndɪŋ'],"['æpɹəhɛnd', 'æpɹəhɛnd']",['@pr1hEnd1N'],['@prehEnd'],[],[],[],0,1,0,1,0
2191,apprehensive,['æpɹihɛnsɪv'],"['æpɹəhɛnsɪv', 'æpɹɪhɛnsɪv']",['@prihEns1v'],"['@prehEns1v', '@pr1hEns1v']",[],[],[],1,0,0,0,0
2192,apprentice,['əpɹɛntəs'],"['əpɹɛntɪs', 'əpɹɛntɪs']",['eprEntes'],['eprEnt1s'],[],[],[],1,0,0,1,1
2194,apprenticed,['əpɹɛntəst'],['əpɹɛntɪs'],['eprEntest'],['eprEnt1s'],[],[],[],0,1,0,1,0
2195,apprentices,['əpɹɛntəsɪz'],"['əpɹɛntɪs', 'əpɹɛntɪs']",['eprEntes1z'],['eprEnt1s'],[],[],[],0,1,0,1,0
2196,apprenticeship,['əpɹɛntəsʃɪp'],['əpɹɛntɪsʃɪp'],['eprEntesS1p'],['eprEnt1sS1p'],[],[],[],0,0,0,1,0
2197,apprenticeships,['əpɹɛntəsʃɪps'],['əpɹɛntɪsʃɪp'],['eprEntesS1ps'],['eprEnt1sS1p'],[],[],[],0,1,0,1,0
2199,apprised,['əpɹaɪzd'],['əpɹaɪz'],['epr5zd'],['epr5z'],[],[],[],0,1,0,1,0
2202,approached,['əpɹoʊtʃt'],"['əpɹoʊtʃ', 'əpɹoʊtʃ', 'əpɹoʊtʃ']",['eproCt'],['eproC'],[],[],[],0,1,0,1,0
2203,approaches,['əpɹoʊtʃɪz'],"['əpɹoʊtʃ', 'əpɹoʊtʃ', 'əpɹoʊtʃ', 'əpɹoʊtʃ', 'əpɹoʊtʃ', 'əpɹoʊtʃ', 'əpɹoʊtʃ']",['eproC1z'],['eproC'],[],[],[],0,1,0,1,0
2204,approaching,['əpɹoʊtʃɪŋ'],"['əpɹoʊtʃ', 'əpɹoʊtʃ', 'əpɹoʊtʃ']",['eproC1N'],['eproC'],[],[],[],0,1,0,1,0
2207,appropriate,['əpɹoʊpɹieɪt'],"['əpɹoʊpɹiət', 'əpɹoʊpɹiət']",['epropri8t'],['epropriet'],[],[],[],1,0,0,0,0
2208,appropriated,['əpɹoʊpɹieɪtɪd'],"['əpɹoʊpɹieɪt', 'əpɹoʊpɹieɪt', 'əpɹoʊpɹieɪt']",['epropri8t1d'],['epropri8t'],[],[],[],0,1,0,1,0
2209,appropriately,['əpɹoʊpɹiɪtli'],['əpɹoʊpɹiətli'],['epropri1tli'],['eproprietli'],[],[],[],0,0,0,1,0
2211,appropriating,['əpɹoʊpɹieɪtɪŋ'],"['əpɹoʊpɹieɪt', 'əpɹoʊpɹieɪt', 'əpɹoʊpɹieɪt']",['epropri8t1N'],['epropri8t'],[],[],[],0,1,0,1,0
2213,appropriations,['əpɹoʊpɹieɪʃənz'],"['əpɹoʊpɹieɪʃən', 'əpɹoʊpɹieɪʃən', 'əpɹoʊpɹieɪʃən', 'əpɹoʊpɹieɪʃən']",['epropri8Senz'],['epropri8Sen'],[],[],[],0,1,0,1,0
2215,approvals,['əpɹuvəlz'],"['əpɹuvəl', 'əpɹuvəl', 'əpɹuvəl', 'əpɹuvəl', 'əpɹuvəl']",['epruvelz'],['epruvel'],[],[],[],0,1,0,1,0
2218,approves,['əpɹuvz'],"['əpɹuv', 'əpɹuv', 'əpɹuv', 'əpɹuv']",['epruvz'],['epruv'],[],[],[],0,1,0,1,0
2221,approximate,"['əpɹɑksəmeɪt', 'əpɹɒksəmeɪt']","['əpɹɑksəmət', 'əpɹɑksəmət']",['epraksem8t'],['epraksemet'],[],[],[],1,0,0,0,0
2222,approximated,"['əpɹɑksəmeɪtəd', 'əpɹɒksəmeɪtəd']",['əpɹɑksəmeɪt'],['epraksem8ted'],['epraksem8t'],[],[],[],0,1,0,1,0
2224,approximates,"['əpɹɑksəməts', 'əpɹɒksəməts']","['əpɹɑksəmət', 'əpɹɑksəmət']",['epraksemets'],['epraksemet'],[],[],[],1,1,0,1,1
2225,approximates,"['əpɹɑksəmeɪts', 'əpɹɒksəmeɪts']","['əpɹɑksəmət', 'əpɹɑksəmət']",['epraksem8ts'],['epraksemet'],[],[],[],1,1,0,0,0
2226,approximating,"['əpɹɑksɪmeɪtɪŋ', 'əpɹɒksɪmeɪtɪŋ']",['əpɹɑksəmeɪt'],['epraks1m8t1N'],['epraksem8t'],[],[],[],0,1,0,1,0
2228,approximations,"['əpɹɑksəmeɪʃənz', 'əpɹɒksəmeɪʃənz']",['əpɹɑksəmeɪʃən'],['epraksem8Senz'],['epraksem8Sen'],[],[],[],0,1,0,1,0
2229,apps,['æps'],"['æp', 'æp', 'æp']",['@ps'],['@p'],[],[],[],0,1,0,1,0
2230,apricot,"['eɪpɹəkɑt', 'eɪpɹəkɒt']","['eɪpɹɪkɑt', 'eɪpɹɪkɑt', 'æpɹkɑt', 'eɪpɹ']",['8prekat'],"['@prkat', '8pr', '8pr1kat']",[],[],[],0,0,0,1,0
2231,apricots,"['æpɹəkɑts', 'æpɹəkɒts']","['eɪpɹɪkɑt', 'eɪpɹɪkɑt', 'æpɹkɑt', 'eɪpɹ']",['@prekats'],"['@prkat', '8pr', '8pr1kat']",[],[],[],0,1,0,1,0
2234,aprons,['eɪpɹənz'],"['eɪpɹən', 'eɪpɹən', 'eɪpɹən', 'eɪpɹən']",['8prenz'],['8pren'],[],[],[],0,1,0,1,0
2238,aptitudes,['æptətudz'],"['æptətud', 'æptɪtud', 'æptɪtud']",['@ptetudz'],"['@ptetud', '@pt1tud']",[],[],[],0,1,0,1,0
2243,aquamarine,"['ɑkwəmɝin', 'ɑkwəmɚin', 'ɒkwəmɝin', 'ɒkwəmɚin']","['ækwəməɹin', 'ækwəməɹin']",['akwem3rin'],['@kwemerin'],[],[],[],0,0,0,1,0
2245,aquariums,['əkwɛɹiəmz'],"['əkwɛɹiəm', 'əkwɛɹiəm', 'əkwɛəɹiəm']",['ekwEriemz'],"['ekwEeriem', 'ekwEriem']",[],[],[],0,1,0,1,0
2249,aqueduct,['ækwədəkt'],"['ækwədʌkt', 'ækwədʌkt']",['@kwedekt'],['@kwed^kt'],[],[],[],0,0,0,1,0
2250,aqueducts,['ækwədəkts'],"['ækwədʌkt', 'ækwədʌkt']",['@kwedekts'],['@kwed^kt'],[],[],[],0,1,0,1,0
2252,aquifer,"['ækwəfɝ', 'ækwəfɚ']",['ɑkwəfɚ'],['@kwef3r'],['akwef3r'],[],[],[],0,0,0,1,0
2259,arab,['eɪɹəb'],"['ɛɹəb', 'ɛɹəb', 'æɹəb']",['8reb'],"['Ereb', '@reb']",[],[],[],1,0,0,0,0
2262,arabians,['əɹeɪbiənz'],['əɹeɪbiən'],['er8bienz'],['er8bien'],[],[],[],0,1,0,1,0
2263,arabic,['æɹəbɪk'],['ɛɹəbɪk'],['@reb1k'],['Ereb1k'],[],[],[],1,0,0,1,1
2266,arabs,['æɹəbz'],"['ɛɹəb', 'ɛɹəb', 'æɹəb']",['@rebz'],"['Ereb', '@reb']",[],[],[],1,1,0,1,1
2267,arabs,['eɪɹəbz'],"['ɛɹəb', 'ɛɹəb', 'æɹəb']",['8rebz'],"['Ereb', '@reb']",[],[],[],1,1,0,0,0
2268,arachnid,['əɹæknəd'],['əɹæknɪd'],['er@kned'],['er@kn1d'],[],[],[],0,0,0,1,0
2269,arachnids,['əɹæknɪdz'],['əɹæknɪd'],['er@kn1dz'],['er@kn1d'],[],[],[],0,1,0,1,0
