Word,Possible IPA from CMU,Possible IPA from Cambridge
culpability,kAH2lpəbɪlɪti,kʌlpəbɪləti
cultivation,kAH2ltɪveɪʃən,kʌltəveɪʃən kʌltəveɪʃən kʌltəveɪʃən
cumin,kjumən,kumɪn
cuneiform,kjuniəfɔɹm,kjunəfɔɹm kjunəfɔɹm kjʊniəfɔɹm kjuniə
cunnilingus,kAH2nəlɪŋɡəs,kʌnəlɪŋɡəs
cupidity,kjupɪdɪti,kjupɪdəti
curmudgeon,kɝmʌdʒɪn kɚmʌdʒɪn,kɚmʌdʒən
curricular,kɝɪkjəlɝ kɝɪkjəlɚ kɚɪkjəlɝ kɚɪkjəlɚ,kəɹɪkjəlɚ
curriculum,kɝɪkjələm kɚɪkjələm,kəɹɪkjələm kəɹɪkjələm
cussed,kʌst,kʌsɪd
custodial,kəstoʊdiəl,kʌstoʊdiəl kʌstoʊdiəl
custodian,kəstoʊdiən,kʌstoʊdiən kʌstoʊdiən kʌstoʊdiən kʌstoʊdiən
customarily,kAH2stəmɛɹəli,kʌstəmɛɹəli kʌstəmɛəɹəli
cuticle,kjutəkəl,kjutɪkəl kjutɪkəl kjutɪkəl kjutɪkəl
cyan,saɪæn,saɪən
cyclic,saɪklɪk,sɪklɪk sɪklɪk
cyclical,saɪklɪkəl,sɪklɪkəl sɪklɪkəl sɑɪklɪkəl
cycling,saɪkəlɪŋ,saɪklɪŋ saɪklɪŋ
cyclist,saɪkəlɪst,saɪklɪst sɑɪklɪst
cyclone,sɪkloʊn,saɪkloʊn saɪkloʊn sɑɪkloʊn
cylinder,sɪləndɝ sɪləndɚ,sɪlɪndɚ sɪlɪndɚ sɪləndəɹ sɪləndəɹ
cylindrical,səlɪndɹɪkəl,sɪlɪndɹɪkəl
cynicism,sɪnɪsɪzəm,sɪnəsɪzəm sɪnəsɪzəm
cytomegalovirus,saɪtəmɛɡəloʊvaɪɹəs,saɪtoʊmɛɡələvaɪɹəs
dahlia,dæljə,deɪljə
dais,deɪz,deɪɪs
dal,dæl,dɑl
damage,dæmədʒ,dæmɪdʒ dæmɪdʒ
damaged,dæmədʒd,dæmɪdʒd
damages,dæmədʒəz,dæmɪdʒɪz
dampness,dæmpnɪs,dæmpnəs
damson,dæmsən,dæmzən
datura,dətʊɹə,dətjʊɹə
daube,dɔb,doʊb
daughter,dɔtɝ dɔtɚ,dɑtɚ dɔtəɹ
daunting,dɔntɪŋ,dɑntɪŋ
dawning,dɔnɪŋ,dɑnɪŋ
dearest,dɪɹəst,dɪɹɪst
debacle,dəbɑkəl dəbɒkəl,dɪbɑkəl dɪbɑkəl di bæk
debase,dəbeɪs,dɪbeɪs dɪbeɪs dɪbeɪs
debased,dəbeɪst,dɪbeɪst
debasement,dəbeɪsmənt,dɪbeɪsmənt
debatable,dəbeɪtəbəl,dɪbeɪtəbəl dɪbeɪtəbəl
debate,dəbeɪt,dɪbeɪt dɪbeɪt dɪbeɪt
debater,dəbeɪtɝ dəbeɪtɚ,dɪbeɪtɚ
debauchery,dəbɔtʃɝi dəbɔtʃɚi,dɪbɑtʃɚi
debenture,dəbɛntʃɝ dəbɛntʃɚ,dɪbɛntʃɚ
debilitating,dəbɪləteɪtɪŋ,dɪbɪləteɪtɪŋ dɪbɪləteɪtɪŋ
debrief,dɪbɹif,dibɹif dibɹif
debunk,dɪbʌŋk,dibʌŋk dibʌŋk
debutante,dɛbjətɑnt dɛbjətɒnt,dɛbjutɑnt
decaffeinated,dikæfəneɪtɪd,dɪkæfəneɪtɪd dikæfənɛitɪd
decamp,dəkæmp,dikæmp
decapitate,dikæpəteɪt,dɪkæpəteɪt dɪkæpɪteɪt
decapitation,dɪkæpɪteɪʃən,dɪkæpəteɪʃən
decathlete,dikæθlit,dɪkæθlit
decathlon,dikæθlɔn,dɪkæθlɑn dɪkæθlɑn
decedent,dɛsidənt,dɪsidənt
decelerate,dɪsɛlɝeɪt dɪsɛlɚeɪt,disɛləɹeɪt disɛləɹeɪt
deceleration,dɪsɛlɝeɪʃən dɪsɛlɚeɪʃən,disɛləɹeɪʃən disɛləɹeɪʃən
decentralization,dɪsɛntɹəlɪzeɪʃən,disɛntɹələzeɪʃən
decidedly,dɪsaɪdədli,dɪsaɪdɪdli
decider,dɪsaɪdɝ dɪsaɪdɚ,dɪsaɪɚ dɪsaɪɚ
declaration,dɛklɝeɪʃən dɛklɚeɪʃən,dɛkləɹeɪʃən dɛkləɹeɪʃən dɛkləɹeɪʃən
declassified,dɪklæsəfaɪd,diklæsəfaɪd
decode,dɪkoʊd,dikoʊd dikoʊd dikoʊd
decoder,dɪkoʊdɝ dɪkoʊdɚ,dikoʊdɚ
decomposition,dikəmpoʊzɪʃən,dikɑmpəzɪʃən dikɑmpəzɪʃən
decongestant,dɪkəndʒɛstənt,dikəndʒɛstənt dikəndʒɛstənt
decor,dɪkɔɹ,deɪkɔɹ deɪkɔɹ dɪ
decorate,dɛkɝeɪt dɛkɚeɪt,dɛkəɹeɪt dɛkəɹeɪt dɛkəɹeɪt dɛkəɹeɪt dɛkəɹeɪt
decoration,dɛkɝeɪʃən dɛkɚeɪʃən,dɛkəɹeɪʃən dɛkəɹeɪʃən dɛkəɹeɪʃən dɛkəɹeɪʃən dɛkəɹeɪʃən
decorative,dɛkɹətɪv,dɛkəɹətɪv dɛkəɹətɪv
decorator,dɛkɝeɪtɝ dɛkɝeɪtɚ dɛkɚeɪtɝ dɛkɚeɪtɚ,dɛkəɹeɪtɚ dɛkəɹeɪtɚ dɛkəɹeɪtəɹ
decorous,dɛkɝəs dɛkɚəs,dɛkəɹəs
decoy,dəkɔɪ,dikɔɪ dikɔɪ dikɔɪ dɪkɔɪ
decrepit,dəkɹɛpɪt,dɪkɹɛpɪt dɪkɹɛpɪt
dedicated,dɛdəkeɪtəd,dɛdəkeɪtɪd dɛdəkeɪtɪd dɛdɪkeɪtɪd
deductive,dɪdʌktəv,dɪdʌktɪv
defenestration,difɛnɛstɹeɪʃən,difɛnɪstɹeɪʃən difɛnɪstɹeɪʃən
deferential,dɛfɝɛntʃəl dɛfɚɛntʃəl,dɛfəɹɛnʃəl
defibrillator,difɪbɹɪleɪtɝ difɪbɹɪleɪtɚ,difɪbɹəleɪtɚ
defied,dɪfaɪd,dɪfɑɪd
definitive,dɪfɪnɪtɪv,dɪfɪnətɪv dɪfɪnətɪv dɪfɪnətɪv
definitively,dɪfɪnɪtɪvli,dɪfɪnətɪvli
defoliant,dɪfoʊliənt,difoʊliənt
deforest,dɪfɔɹəst,difɔɹɪst
deforestation,dɪfɔɹɪsteɪʃən,difɔɹəsteɪʃən
deform,difɔɹm,dɪfɔɹm dɪfɔɹm dɪfɔɹm
degeneracy,dɪdʒɛnɝəsi dɪdʒɛnɚəsi,dɪdʒɛnəɹəsi
degenerate,dɪdʒɛnɝət dɪdʒɛnɚət,dɪdʒɛnəɹeɪt dɪdʒɛnəɹeɪt
degeneration,dɪdʒɛnɝeɪʃən dɪdʒɛnɚeɪʃən,dɪdʒɛnəɹeɪʃən dɪdʒɛnəɹeɪʃən di
degenerative,dɪdʒɛnɝətɪv dɪdʒɛnɚətɪv,dɪdʒɛnəɹətɪv
dehydrate,dɪhaɪdɹeɪt,dihaɪdɹeɪt dihɑɪdɹeɪt
dehydrated,dɪhaɪdɹeɪtəd,dihaɪdɹeɪtɪd
deify,diəfaɪ,diɪfaɪ diɪfaɪ
delegate,dɛləɡeɪt,dɛləɡət dɛlɪɡət
deleterious,dɛlətɪɹiəs,dɛlɪtɪɹiəs
deliberation,dɪlɪbɝeɪʃən dɪlɪbɚeɪʃən,dɪlɪbəɹeɪʃən dɪlɪbəɹeɪʃən dɪlɪbəɹeɪʃən
deliciously,dɪlɪʃəʃli,dɪlɪʃəsli dɪlɪʃəsli
delighted,dɪlaɪtəd,dɪlaɪtɪd dɪlɑɪtɪd
deliverance,dɪlɪvɝəns dɪlɪvɚəns,dɪlɪvəɹəns
delouse,dilaʊz,dilaʊs
deluxe,dəlʌks,dɪlʌks dɪlʌks
demeanor,dɪminɝ dɪminɚ,dɪminəɹ
dementia,dɪmɛnʃiə,dɪmɛnʃə dɪmɛnʃə
demerit,dimɛɹət,dimɛɹɪt dimɛɹɪt
demobilization,dimoʊbəlaɪzeɪʃən,dimoʊbələzeɪʃən
democratically,dɛməkɹætɪkli,dɛməkɹætɪkəli
demonstrable,dɛmənstɹəbəl,dɪmɑnstɹəbəl dɪmɑnstɹəbəl
demoralization,dɪmɔɹəlɪzeɪʃən,dɪmɔɹələzeɪʃən
dengue,dɛnɡ,dɛŋɡeɪ
deniability,dɪnaɪəbɪlɪti,dɪnaɪəbɪləti
denomination,dɪnɔməneɪʃən,dɪnɑməneɪʃən dɪnɑməneɪʃən dɪnɑməneɪʃən dɪnɑməneɪʃən dɪnɑməneɪʃən
denominational,dɪnɔməneɪʃənəl,dɪnɑməneɪʃənəl
denouement,deɪnumɑn deɪnumɒn,deɪnumɑ̃ deɪnumɑ̃
dentin,dɛntən,dɛntɪn
dentist,dɛntəst,dɛntɪst dɛntɪst
dentures,dɛntʃɝz dɛntʃɚz,dɛntʃəɹz
departmental,dɪpɑɹtmɛnəl dɪpɒɹtmɛnəl,dipɑɹtmɛntəl
dependability,dɪpɛndəbɪlɪti,dɪpɛndəbɪləti
depopulation,dɪpɑpjəleɪʃən dɪpɒpjəleɪʃən,dipɑpjəleɪʃən
deportment,dəpɔɹtmənt,dɪpɔɹtmənt dɪpɔɹtmənt
deposit,dəpɑzɪt dəpɒzɪt,dɪpɑzɪt dɪpɑzɪt dɪpɑzɪt dɪpɑzɪt dɪpɑzɪt dɪpɑzɪt dɪpɑzɪt dɪpɑzɪt
depositor,dəpɑzɪtɝ dəpɑzɪtɚ dəpɒzɪtɝ dəpɒzɪtɚ,dɪpɑzətɚ dɪpɑzɪtəɹ pɑzəṱɚ
deprave,dipɹeɪv,dɪpɹeɪv
depraved,dipɹeɪvd,dɪpɹeɪvd
depressurize,dɪpɹɛʃɝaɪz dɪpɹɛʃɚaɪz,dipɹɛʃəɹaɪz
derailment,dɪɹeɪlmənt,diɹeɪlmənt
derision,dɝɪʒən dɚɪʒən,dɪɹɪʒən dɪɹɪʒən
derisive,dɝɪsɪv dɚɪsɪv,dɪɹaɪsɪv
derivative,dɝɪvətɪv dɚɪvətɪv,dɪɹɪvətɪv dɪɹɪvətɪv
derive,dɝaɪv dɚaɪv,dɪɹɑɪv
dermatology,dɝmətɑlədʒi dɝmətɒlədʒi dɚmətɑlədʒi dɚmətɒlədʒi,dɝmətɑlə
dermis,dɝməs dɚməs,dɝmɪs
derogatory,dɝɑɡətɔɹi dɝɒɡətɔɹi dɚɑɡətɔɹi dɚɒɡətɔɹi,dɪɹɑɡətɔɹi dɪɹɑɡətɔɹi toʊɹi
desecrate,dɛzəkɹeɪt,dɛsəkɹeɪt dɛsɪkɹeɪt
desegregate,dɪsɛɡɹəɡeɪt,disɛɡɹəɡeɪt disɛɡɹɪɡeɪt
desegregation,dɪsɛɡɹəɡeɪʃən,disɛɡɹəɡeɪʃən
desensitize,dɪsɛnsətaɪz,disɛnsətaɪz
deserter,dɛzɝtɝ dɛzɝtɚ dɛzɚtɝ dɛzɚtɚ,dɪzɝtɚ dɪzɜɹtəɹ
deservedly,dɪzɝvədli dɪzɚvədli,dɪzɝvɪdli
desi,dɛzi,deɪsi
desiccate,dɛsəkeɪt,dɛsɪkeɪt dɛsɪkeɪt
desiccated,dɛsəkeɪtəd,dɛsəkeɪtɪd dɛsəkeɪtɪd
designate,dɛzəɡneɪt,dɛzɪɡneɪt dɛzɪɡneɪt dɛzɪɡneɪt
designation,dɛzəɡneɪʃən,dɛzɪɡneɪʃən dɛzɪɡneɪʃən dɛzɪɡneɪʃən
desirability,dɪzaɪɹəbɪlɪti,dɪzaɪɹəbɪləti dɪzaɪɹəbɪləti
desire,dɪzaɪɝ dɪzaɪɚ,dɪzaɪɹ dɪzaɪɹ dɪzɑɪəɹ
desired,dɪzaɪɝd dɪzaɪɚd,dɪzaɪɹd dɪzɑɪəɹd
desirous,dɪzaɪɹəs,dəzaɪɹəs
desperado,dɛspɝɑdoʊ dɛspɝɒdoʊ dɛspɚɑdoʊ dɛspɚɒdoʊ,dɛspəɹɑdoʊ
desperate,dɛspɹɪt,dɛspɚət dɛspɚət dɛspɚət dɛspɚət dɛspɚət dɛspəɹət dɛspəɹət dɛspəɹət dɛspəɹət
desperation,dɛspɝeɪʃən dɛspɚeɪʃən,dɛspəɹeɪʃən dɛspəɹeɪʃən dɛspəɹeɪʃən
destabilize,dɪsteɪbəlaɪz,disteɪbəlaɪz
destabilizing,dɪsteɪbəlaɪzɪŋ,disteɪbəlaɪzɪŋ
detailed,dɪteɪld,diteɪld
deteriorate,dɪtɪɹiɝeɪt dɪtɪɹiɚeɪt,dɪtɪɹiəɹeɪt dɪtɪɹiəɹeɪt
deterioration,dɪtɪɹiɝeɪʃən dɪtɪɹiɚeɪʃən,dɪtɪɹiəɹeɪʃən
determinate,dɪtɝməneɪt dɪtɚməneɪt,dɪtɝmɪnət
determination,dɪtɝməneɪʃən dɪtɚməneɪʃən,dɪtɝmɪneɪʃən dɪtɝmɪneɪʃən dɪtɝmɪneɪʃən dɪtɜɹməneɪʃən
determine,dətɝmən dətɚmən,dɪtɝmɪn dɪtɝmɪn dɪtɝmɪn dɪtɜɹmən dɪtɜɹmən
determined,dɪtɝmənd dɪtɚmənd,dɪtɝmɪnd dɪtɜɹmənd
determinedly,dətɝmənədli dətɚmənədli,dɪtɝmɪndli
determinist,dɪtɝmənəst dɪtɚmənəst,dɪtɝmənɪst
deterrence,dɪtɝəns dɪtɚəns,dɪtɛɹənts
deterrent,dɪtɝɹənt dɪtɚɹənt,dɪtɛɹənt
dethrone,dɪθɹoʊn,diθɹoʊn diθɹoʊn
detour,dɪtʊɹ,ditʊɹ ditʊɹ ditʊɹ ditʊəɹ
detoxification,dɪtɑksɪfɪkeɪʃən dɪtɒksɪfɪkeɪʃən,ditɑksəfəkeɪʃən ditɑksəfɪkeɪʃən ditɑksəfɪkeɪʃən
detoxify,dɪtɑksəfaɪ dɪtɒksəfaɪ,ditɑksəfaɪ ditɑksəfaɪ ditɑksəfaɪ ditɑksəfɑɪ
deuterium,dutiɹiəm,dʒutɪətɪɹəm dutɪəɹiəm
devaluation,dɪvæljueɪʃən,divæljueɪʃən divæljueɪʃən
devalue,dɪvælju,divælju divælju
devastated,dɛvəsteɪtəd,dɛvəsteɪtɪd dɛvəsteɪtɪd
deviancy,diviɛnsi,diviənsi
devilish,dɛvlɪʃ,dɛvəlɪʃ dɛvəlɪʃ dɛvəlɪʃ dɛvəlɪʃ dɛvəlɪʃ
devolution,dɛvəluʃən,divəluʃən
devoted,dɪvoʊtəd,dɪvoʊtɪd dɪvoʊtɪd
diagnosis,daɪəɡnoʊsəs,daɪəɡnoʊsɪs dɑɪɪɡnoʊsɪs
dialogue,daɪəlɔɡ,daɪəlɑɡ daɪəlɑɡ dɑɪəlɔɡ lɑɡ dɑɪəlɔɡ lɑɡ
dialysis,daɪæləsəs,daɪæləsɪs
diamond,daɪmənd,daɪəmənd daɪəmənd daɪəmənd daɪəmənd dɑɪmənd əmənd dɑɪmənd əmənd dɑɪmənd əmənd
diaphanous,daɪæfənɪs,daɪæfənəs
diarrhea,daɪɝiə daɪɚiə,daɪəɹiə dɑɪəɹiə
diarrhoea,daɪɝiə daɪɚiə,daɪəɹiə
diary,daɪɝi daɪɚi,daɪɹi daɪɹi dɑɪəɹi dɑɪɹi
diesel,disəl,dizəl dizəl dizəl dizəl
dieter,ditɝ ditɚ,daɪətɚ
differential,dɪfɝɛnʃəl dɪfɚɛnʃəl,dɪfəɹɛnʃəl dɪfəɹɛnʃəl dɪfəɹɛnʃəl
differentiate,dɪfɝɛnʃieɪt dɪfɚɛnʃieɪt,dɪfəɹɛnʃieɪt dɪfəɹɛnʃieɪt dɪfəɹɛnʃieɪt dɪfəɹɛnʃieɪt dɪfəɹɛnʃieɪt dɪfəɹɛnʃieɪt
differentiated,dɪfɝɛnʃieɪtɪd dɪfɚɛnʃieɪtɪd,dɪfəɹɛnʃieɪtɪd dɪfəɹɛnʃieɪtɪd dɪfəɹɛnʃieɪtɪd
differentiation,dɪfɝɛnʃieɪʃən dɪfɚɛnʃieɪʃən,dɪfəɹɛnʃieɪʃən dɪfəɹɛnʃieɪʃən dɪfəɹɛnʃieɪʃən dɪfəɹɛnʃieɪʃən dɪfəɹɛnʃieɪʃən dɪfəɹɛnʃieɪʃən dɪfəɹɛnʃieɪʃən dɪfəɹɛnʃieɪʃən
differently,dɪfɹəntli,dɪfɚəntli dɪfɚəntli
diffuse,dɪfjus,dɪfjuz dɪfjuz dɪfjuz dɪfjuz
digit,dɪdʒət,dɪdʒɪt dɪdʒɪt dɪdʒɪt dɪdʒɪt
digitalis,dɪdʒətæləs,dɪdʒɪtɑlɪs
dignity,dɪɡnəti,dɪɡəti dɪɡəti dɪɡnɪti
diligence,dɪlɪdʒəns,dɪlədʒəns
dimension,dɪmɛnʃən,daɪmɛnʃən daɪmɛnʃən dəmɛnʃən dəmɛnʃən
dinar,dɪnɑɹ dɪnɒɹ,dinɑɹ
dinnertime,dɪnɝtaɪm dɪnɚtaɪm,dɪnəɹtɑɪm
diocese,daɪəsiz,daɪəsɪs dɑɪəsəs siz sis
diphtheria,dɪfθɪɹiɑ dɪfθɪɹiɒ,dɪfθɪɹiə dɪfθəɪɹiə dɪp
diphthong,dɪfθɔŋ,dɪfθɑŋ
diploma,dɪploʊmɑ dɪploʊmɒ,dɪploʊmə dəploʊmə
diplomatically,dɪpləmætɪkli,dɪpləmætɪkəli dɪpləmætɪkəli
direct,dɝɛkt dɚɛkt,daɪɹɛkt daɪɹɛkt daɪɹɛkt daɪɹɛkt dəɹɛkt dɑɪ dəɹɛkt dɑɪ dəɹɛkt dɑɪ
direction,dɝɛkʃən dɚɛkʃən,dɪɹɛkʃən dɪɹɛkʃən dɪɹɛkʃən dəɹɛkʃən dɑɪ dəɹɛkʃən dɑɪ dəɹɛkʃən dɑɪ
directional,dɝɛkʃənəl dɚɛkʃənəl,daɪɹɛkʃənəl daɪɹɛkʃənəl
directionless,dɝɛkʃənləs dɚɛkʃənləs,daɪɹɛkʃənləs
directive,dɝɛktɪv dɚɛktɪv,daɪɹɛktɪv dəɹɛktɪv dɑɪ
directly,dɝɛktli dɚɛktli,daɪɹɛktli daɪɹɛktli daɪɹɛktli daɪɹɛktli dəɹɛktli dɑɪ dəɹɛktli dɑɪ
directness,dɝɛktnəs dɚɛktnəs,daɪɹɛktnəs daɪɹɛktnəs dəɹɛktnəs dɑɪ
director,dɝɛktɝ dɝɛktɚ dɚɛktɝ dɚɛktɚ,daɪɹɛktɚ daɪɹɛktɚ daɪɹɛktɚ daɪɹɛktɚ dəɹɛktəɹ dɑɪ dəɹɛktəɹ dɑɪ
directorate,dɝɛktɝət dɝɛktɚət dɚɛktɝət dɚɛktɚət,daɪɹɛktəɹət daɪɹɛktəɹət
directorial,dɝɛktɔɹiəl dɚɛktɔɹiəl,dɪɹɛktɔɹiəl dɪɹɛktɔɹiəl dɪɹɛktɔɹiəl
directorship,dɝɛktɝʃɪp dɝɛktɚʃɪp dɚɛktɝʃɪp dɚɛktɚʃɪp,daɪɹɛktɚʃɪp dɪɹɛktəʃɪp
directory,dɝɛktɝi dɝɛktɚi dɚɛktɝi dɚɛktɚi,dɪɹɛktɚi dəɹɛktəɹi dɑɪ
disabling,dɪseɪbəlɪŋ,dɪseɪblɪŋ
disabuse,dɪsəbjus,dɪsəbjuz
disarray,dɪsɝeɪ dɪsɚeɪ,dɪsəɹeɪ dɪsəɹeɪ
disassociate,dɪsəsoʊʃieɪt,dɪsəsoʊsieɪt
disciplinarian,dɪsɪplɪnɛɹiən,dɪsəplɪnɛɹiən
disciplined,dɪsəplənd,dɪsəplɪnd
discoloration,dɪskAH2lɝeɪʃən dɪskAH2lɚeɪʃən,dɪskʌləɹeɪʃən
discombobulate,dɪskəmbɔbjuleɪt,dɪskəmbɑbjəleɪt
discotheque,dɪskoʊtɛk,dɪskətɛk
discoverer,dɪskʌvəɹɝ dɪskʌvəɹɚ,dɪskʌvɚɚ
discredit,dɪskɹɛdət,dɪskɹɛdɪt dɪskɹɛdɪt
disembark,dɪsɛmbɑɹk dɪsɛmbɒɹk,dɪsɪmbɑɹk dɪsəmbɑɹk
disembarkation,dɪsɛmbɑɹkeɪʃən dɪsɛmbɒɹkeɪʃən,dɪsɪmbɑɹkeɪʃən
disembodied,dɪsɪbɑdid dɪsɪbɒdid,dɪsɪmbɑdid dɪsəmbɑdid
disengage,dɪsɪnɡeɪdʒ,dɪsɪŋɡeɪdʒ dɪsɪŋɡeɪdʒ dɪsɪŋɡeɪdʒ dɪsɪŋɡeɪdʒ dɪsənɡeɪdʒ
disengaged,dɪsɪnɡeɪdʒd,dɪsɪŋɡeɪdʒd
disengagement,dɪsɪnɡeɪdʒmənt,dɪsɪŋɡeɪdʒmənt
disgusted,dɪsɡʌstəd,dɪsɡʌstɪd
dishonestly,dɪsɔnəstli,dɪsɑnɪstli
disinclination,dɪsɪnkləneɪʃən,dɪsɪŋkləneɪʃən
disinformation,dɪzɪnfɝmeɪʃən dɪzɪnfɚmeɪʃən,dɪsɪnfɚmeɪʃən
disinterest,dɪsɪntɝəst dɪsɪntɚəst,dɪsɪntɹɪst dɪsɪntɹɪst dɪsɪntɹəst ɪntəɹəst
dislocated,dɪsloʊkeɪtɪd,dɪsloʊkeɪtid dɪsloʊkeɪtid dɪsloʊkeɪtid
disorientation,dɪsɔɹiənteɪʃən,dɪsɔɹiɛnteɪʃən
disoriented,dɪsɔɹiɛntɪd,dɪsɔɹiəntɪd
disorienting,dɪsɔɹiɛntɪŋ,dɪsɔɹiəntɪŋ
disparate,dɪspɝɪt dɪspɚɪt,dɪspɚət dɪspəɹət dɪspæɹət
dispensation,dɪspənseɪʃən,dɪspɛnseɪʃən dɪspɛnseɪʃən
dispersion,dɪspɝʒən dɪspɚʒən,dɪspɝʃən dɪspɝʃən dɪspɜɹʒən dɪspɜɹʒən
disproportionate,dɪspɹəpɔɹʃənɪt,dɪspɹəpɔɹʃənət dɪspɹəpɔɹʃənət
disputed,dɪspjutəd,dɪspjutɪd
dissatisfaction,dɪsætɪsfækʃən,dɪssætəsfækʃən
dissatisfied,dɪsætəsfaɪd,dɪssætəsfaɪd dɪssætəsfɑɪd
dissection,daɪsɛkʃən,dɪsɛkʃən dɪsɛkʃən
disservice,dɪsɝvəs dɪsɚvəs,dɪssɝvɪs dɪssɜɹvɪs
dissident,dɪsədɪnt,dɪsədənt dɪsədənt
dissimilar,dɪsɪməlɝ dɪsɪməlɚ,dɪssɪməlɚ dɪssɪmələɹ
dissipation,dɪsɪpeɪʃən,dɪsəpeɪʃən dɪsəpeɪʃən dɪsəpeɪʃən
dissociate,dɪsoʊsieɪt,dɪsoʊʃieɪt
dissociation,dɪsoʊsieɪʃən,dɪsoʊʃieɪʃən dɪsoʊʃieɪʃən
distorted,dɪstɔɹtəd,dɪstɔɹtɪd dɪstɔɹtɪd dɪstɔɹtɪd dɪstɔɹtɪd
distracted,dɪstɹæktəd,dɪstɹæktɪd
diuretic,daɪuɹɛtɪk,daɪjəɹɛtɪk
divergence,daɪvɝdʒəns daɪvɚdʒəns,dɪvɝdʒəns dɪvɜɹdʒəns
divergent,daɪvɝdʒənt daɪvɚdʒənt,dɪvɝdʒənt dɪvɝdʒənt dɪvɜɹdʒənt
diverse,daɪvɝs daɪvɚs,dɪvɝs dɪvɝs dɪvɜɹs dɑɪ
diversification,daɪvɝsəfəkeɪʃən daɪvɚsəfəkeɪʃən,dɪvɝsəfəkeɪʃən dɪvɝsəfəkeɪʃən
diversified,daɪvɝsəfaɪd daɪvɚsəfaɪd,dɪvɝsəfaɪd dɪvɜɹsɪfaɪd
diversify,daɪvɝsəfaɪ daɪvɚsəfaɪ,dɪvɝsəfaɪ dɪvɝsəfaɪ dɪvɜɹsəfɑɪ dɑɪ
diversion,daɪvɝʒən daɪvɚʒən,dɪvɝʃən dɪvɝʃən dɪvɝʃən dɪvɝʃən dɪvɝʃən dɪvɜɹʒən dɑɪ dɪvɜɹʒən dɑɪ
diversionary,daɪvɝʒənɛɹi daɪvɚʒənɛɹi,dɪvɝʃənɛɹi dɪvɝʃənɛɹi dɪvɝʃənɛɹi
diversity,dɪvɝsɪti dɪvɚsɪti,dɪvɝsəti dɪvɝsəti dɪvɜɹsɪti dɑɪ dɪvɜɹsɪti dɑɪ
divert,daɪvɝt daɪvɚt,dɪvɝt dɪvɝt dɪvɝt dɪvɝt dɪvɜɹt dɑɪ dɪvɜɹt dɑɪ dɪvɜɹt dɑɪ dɪvɜɹt dɑɪ
diverting,daɪvɝtɪŋ daɪvɚtɪŋ,dɪvɝtɪŋ
divest,daɪvɛst,dɪvɛst dɑɪvɛst dɪ dɑɪvɛst dɪ dɪvɛst
divestiture,dɪvɛstɪtʃɝ dɪvɛstɪtʃɚ,dɪvɛstətʃɚ dɪvɛstɪtʃəɹ
dividend,dɪvɪdɛnd,dɪvədɛnd dɪvədɛnd dənd
divorcee,dəvɔɹsi,dəvɔɹseɪ dəvɔɹseɪ dɪvɔɹseɪ voʊɹ si
docket,dɑkət dɒkət,dɑkɪt dɑkɪt dɑkɪt
doctrinal,dɑktɹənəl dɒktɹənəl,dɑktɹɪnəl
docudrama,doʊkədɹæmə,dɑkjədɹɑmə dɑkjədɹɑmə dɹæmə
document,dɑkjəmɛnt dɒkjəmɛnt,dɑkjəmənt dɑkjəmənt dɑkjəmənt dɑkjəmənt
doer,duɹ,duɚ
doff,dɔf,dɑf dɑf dɑf
dogfish,dɔɡfɪʃ,dɑɡfɪʃ
dogged,dɔɡd,dɑɡɪd dɑɡɪd dɔɡɪd
doggedly,dɔɡədli,dɑɡɪdli
dogging,dɔɡɪŋ,dɑɡɪŋ
doggy,dɔɡi,dɑɡi
doghouse,dɔɡhaʊs,dɑɡhaʊs dɔɡhɑʊs
dogmatically,dɑɡmætɪkli dɒɡmætɪkli,dɑɡmætɪkəli
doings,duɪŋz,duɪŋ duɪŋ
domesticate,dəmɛstəkeɪt,dəmɛstɪkeɪt dəmɛstɪkeɪt
domesticated,dəmɛstəkeɪtəd,dəmɛstɪkeɪtɪd dəmɛstɪkeɪtɪd dəmɛstɪkeɪtɪd
donut,doʊnAH2t,doʊnʌt doʊnʌt nət
doorknob,duɹnɑb duɹnɒb,dɔɹnɑb dɔɹnɑb doʊɹ
doorman,dɔɹmæn,dɔɹmən dɔɹmən doʊɹ mæn
dopamine,dɑpəmaɪn dɒpəmaɪn,doʊpəmin
dorado,dɔɹɑdoʊ dɔɹɒdoʊ,dəɹɑdoʊ dəɹɑdoʊ
dosage,doʊsədʒ,doʊsɪdʒ doʊsɪdʒ
doss,dɔs,dɑs dɑs
dossier,dɔsjeɪ,dɑsieɪ
dost,dɑst dɒst,stɹong dʌst
doth,dɔθ,dʌθ
doughnut,doʊnAH2t,doʊnʌt doʊnʌt doʊnʌt doʊnʌt nət
doughty,dɔti,daʊti
dour,daʊɝ daʊɚ,dʊɹ dʊəɹ dɑʊəɹ
dower,daʊɹ,daʊɚ daʊɚ
downfall,daʊnfɔl,daʊnfɑl dɑʊnfɔl
dowse,daʊs,daʊz daʊz
doyen,dɔɪɪn,dɔɪɛn
draconian,dɹeɪkoʊniən,dɹəkoʊniən dɹəkoʊniən
drainage,dɹeɪnədʒ,dɹeɪnɪdʒ dɹeɪnɪdʒ dɹeɪnɪdʒ
dramatize,dɹɑmətaɪz dɹɒmətaɪz,dɹæmətaɪz dɹæmətaɪz dɹɑmətɑɪz dɹæmə dɹɑmətɑɪz dɹæmə
