Word,Pronunciation
snarled, snɑːrld
snatch, snætʃ snætʃ snætʃ snætʃ snætʃ snætʃ
snatched, snætʃt snætʃt
snatcher, ˈsnætʃɚ
snazzy, ˈsnæzi ˈsnæz·i
sneak, sniːk sniːk snik
sneaker, ˈsniːkɚ ˈsni·kər
sneaking, ˈsniːkɪŋ ˈsni·kɪŋ
sneaky, ˈsniːki ˈsniːki ˈsni·ki
sneer, snɪr snɪər
sneering, ˈsnɪrɪŋ
sneeze, sniːz sniz
snicker, ˈsnɪkɚ ˈsnɪk·ər
snide, snaɪd snɑɪd
sniff, snɪf snɪf snɪf snɪf snɪf snɪf
sniffer, ˈsnɪfɚ
sniffle, ˈsnɪfəl ˈsnɪf·əl
sniffy, ˈsnɪfi
snifter, ˈsnɪftɚ ˈsnɪftɚ
snip, snɪp snɪp
snipe, snaɪp snaɪp snɑɪp
sniper, ˈsnaɪpɚ ˈsnaɪpɚ ˈsnɑɪ·pər
sniping, ˈsnaɪpɪŋ ˈsnaɪpɪŋ
snippet, ˈsnɪpɪt ˈsnɪp·ɪt
snitch, snɪtʃ snɪtʃ snɪtʃ snɪtʃ
snob, snɑːb snɑb snɑb
snobbery, ˈsnɑːbɚi
snobbish, ˈsnɑːbɪʃ
snobby, ˈsnɑːbi
snooker, ˈsnuːkɚ ˈsnuːkɚ
snoop, snuːp snuːp snup
snoopy, ˈsnuːpi
snooty, ˈsnuːt̬i ˈsnut̬·i
snooze, snuːz snuz
snoozing, ˈsnuːzɪŋ
snore," snɔːr snɔr, snoʊr"
snorer, ˈsnɔːrɚ
snoring, ˈsnɔːrɪŋ
snorkel, ˈsnɔːrkəl ˈsnɔr·kəl
snorkeling, ˈsnɔːrkəlɪŋ
snort, snɔːrt snɔːrt snɔːrt snɔrt snɔrt
snot, snɑːt snɑːt snɑt snɑt
snotty, ˈsnɑːt̬i ˈsnɑːt̬i ˈsnɑt̬·i
snout, snaʊt snaʊt snɑʊt
snow, snoʊ snoʊ snoʊ snoʊ
snowball, ˈsnoʊbɑːl ˈsnoʊˌbɔl
snowbird, ˈsnoʊbɝːd
snowboard," ˈsnoʊbɔːrd ˈsnoʊˌbɔrd, -ˌboʊrd"
snowboarder, ˈsnoʊbɔːrdɚ
snowbound, ˈsnoʊbaʊnd ˈsnoʊˌbɑʊnd
snowfall, ˈsnoʊfɑːl ˈsnoʊˌfɔl
snowflake, ˈsnoʊfleɪk ˈsnoʊfleɪk ˈsnoʊfleɪk ˈsnoʊˌfleɪk
snowman, ˈsnoʊmæn
snowmobile, ˈsnoʊməˌbiːl ˈsnoʊ·moʊˌbil
snowplow, ˈsnoʊplaʊ ˈsnoʊplaʊ ˈsnoʊˌplɑʊ
snowshoe, ˈsnoʊʃuː ˈsnoʊʃuː ˈsnoʊʃuː
snowstorm, ˈsnoʊstɔːrm ˈsnoʊˌstɔrm
snowy, ˈsnoʊi
snub, snʌb snʌb
snuck, snʌk snʌk
snuff, snʌf snʌf
snug, snʌɡ snʌɡ snʌɡ snʌɡ
snuggle, ˈsnʌɡəl ˈsnʌɡ·əl
snugly, ˈsnʌɡli ˈsnʌɡli ˈsnʌɡ·li ˈsnʌɡ·li
so, soʊ soʊ soʊ soʊ soʊ soʊ soʊ soʊ soʊ soʊ soʊ soʊ soʊ soʊ soʊ soʊ soʊ
soak, soʊk soʊk soʊk soʊk soʊk
soaked, soʊkt
soaking, ˈsoʊkɪŋ
soap, soʊp soʊp soʊp
soapbox, ˈsoʊpbɑːks
soapy, ˈsoʊpi ˈsoʊ·pi
soar," sɔːr sɔːr sɔːr sɔːr sɔr, soʊr sɔr, soʊr sɔr, soʊr"
soaring, ˈsɔːrɪŋ ˈsɔːrɪŋ ˈsɔːrɪŋ
sob, sɑːb sɑb
sober, ˈsoʊbɚ ˈsoʊbɚ ˈsoʊbɚ ˈsoʊbɚ ˈsoʊ·bər ˈsoʊ·bər
sobering, ˈsoʊbɚɪŋ ˈsoʊ·bər·ɪŋ
soberly, ˈsoʊbɚli ˈsoʊ·bər·li
sobriety, səˈbraɪət̬i səˈbraɪət̬i səˈbrɑɪ·ɪ·t̬i səˈbrɑɪ·ɪ·t̬i
sobriquet, ˈsoʊbrəkeɪ
soccer, ˈsɑːkɚ ˈsɑk·ər
sociable, ˈsoʊʃəbəl ˈsoʊʃəbəl ˈsoʊ·ʃə·bəl
social, ˈsoʊʃəl ˈsoʊʃəl ˈsoʊʃəl ˈsoʊ·ʃəl ˈsoʊ·ʃəl
socialism, ˈsoʊʃəlɪzəm ˈsoʊ·ʃəˌlɪz·əm
socialist, ˈsoʊʃəlɪst ˈsoʊ·ʃə·lɪst
socialite, ˈsoʊʃəlaɪt
socialization, ˌsoʊʃələˈzeɪʃən
socialize, ˈsoʊʃəlaɪz ˈsoʊʃəlaɪz ˈsoʊ·ʃəˌlɑɪz
socialized, ˈsoʊ·ʃəˌlɑɪzd
socializing, ˈsoʊʃəlaɪzɪŋ ˈsoʊʃəlaɪzɪŋ
socially, ˈsoʊʃəli ˈsoʊʃəli ˈsoʊ·ʃə·li ˈsoʊ·ʃə·li
societal, səˈsaɪət̬əl səˈsɑɪ·ɪ·t̬əl
society, səˈsaɪət̬i səˈsaɪət̬i səˈsaɪət̬i səˈsaɪət̬i səˈsɑɪ·ɪ·t̬i səˈsɑɪ·ɪ·t̬i səˈsɑɪ·ɪ·t̬i
socioeconomic," ˌsoʊsioʊˌiːkəˈnɑːmɪk ˌsoʊ·si·oʊˌek·əˈnɑm·ɪk, ˌsou·ʃi·oʊ-, -ˌi·kə- ˌsoʊsioʊˌiːkəˈnɑːmɪk"
sociological, ˌsoʊsiəˈlɑːdʒɪkəl
sociologist, ˌsoʊsiˈɑːlədʒɪst
sociology, ˌsoʊsiˈɑːlədʒi ˌsoʊ·siˈɑl·ə·dʒi
sociopath, ˈsoʊsiəpæθ
sock, sɑːk sɑːk sɑk
socket, ˈsɑːkɪt ˈsɑːkɪt ˈsɑk·ɪt
sod, sɑːd sɑːd sɑːd sɑːd sɑd
soda, ˈsoʊdə ˈsoʊdə ˈsoʊ·də
sodden, ˈsɑːdən ˈsɑd·ən
sodium, ˈsoʊdiəm ˈsoʊ·di·əm
sodomize, ˈsɑːdəmaɪz
sodomy, ˈsɑːdəmi
sofa, ˈsoʊfə ˈsoʊ·fə
soft, sɑːft sɑːft sɑːft sɑːft sɑːft sɑːft sɑːft sɑːft sɑːft sɔft sɔft sɔft sɔft
softball, ˈsɑːftbɑːl ˈsɑːftbɑːl ˈsɔftˌbɔl
soften, ˈsɑːfən ˈsɑːfən ˈsɔ·fən ˈsɔ·fən ˈsɔ·fən
softener, ˈsɑːfənɚ
softly, ˈsɑːftli ˈsɔft·li
softness, ˈsɑːftnəs ˈsɑːftnəs ˈsɑːftnəs ˈsɑːftnəs ˈsɑːftnəs ˈsɑːftnəs ˈsɔft·nəs ˈsɔft·nəs ˈsɔft·nəs
software, ˈsɑːftwer ˈsɔftˌweər
softwood, ˈsɑːftwʊd
soggy," ˈsɑːɡi ˈsɑɡ·i, ˈsɔ·ɡi"
soil, sɔɪl sɔɪl sɔɪl sɔɪl
soiled, sɔɪld
sojourn, ˈsoʊdʒɝːn ˈsoʊ·dʒɜrn
sol, sɑːl
solace, ˈsɑːlɪs ˈsɑl·əs
solar, ˈsoʊlɚ ˈsoʊ·lər
sold, soʊld soʊld
solder, ˈsɑːdɚ ˈsɑd·ər
soldier, ˈsoʊldʒɚ ˈsoʊldʒɚ ˈsoʊl·dʒər
soldiering, ˈsoʊldʒɚɪŋ
sole, soʊl soʊl soʊl soʊl
solely, ˈsoʊlli
solemn, ˈsɑːləm ˈsɑl·əm
solemnity, səˈlemnət̬i
solemnly, ˈsɑːləmli
solicit, səˈlɪsɪt səˈlɪsɪt səˈlɪs·ɪt
solicitation, səˌlɪsəˈteɪʃən səˌlɪsəˈteɪʃən səˌlɪsɪˈteɪʃən
soliciting, səˈlɪsɪt̬ɪŋ
solicitor, səˈlɪsət̬ɚ səˈlɪs·ɪ·t̬ər səˈlɪs·ɪ·t̬ər
solicitous, səˈlɪsɪt̬əs səˈlɪs·ɪ·t̬əs
solicitude, səˈlɪsɪtuːd
solid, ˈsɑːlɪd ˈsɑːlɪd ˈsɑːlɪd ˈsɑːlɪd ˈsɑːlɪd ˈsɑːlɪd ˈsɑːlɪd ˈsɑl·ɪd ˈsɑl·ɪd ˈsɑl·ɪd ˈsɑl·ɪd ˈsɑl·ɪd ˈsɑl·ɪd
solidarity, ˌsɑːlɪˈderət̬i ˌsɑl·əˈdær·ɪ·t̬i ˌsɑl·əˈdær·ɪ·t̬i
solidify, səˈlɪdəfaɪ səˈlɪdəfaɪ səˈlɪd·əˌfɑɪ səˈlɪd·əˌfɑɪ
solidity, səˈlɪdət̬i səˈlɪdət̬i səˈlɪd·ɪ·t̬i
solidly, ˈsɑːlɪdli ˈsɑːlɪdli ˈsɑːlɪdli ˈsɑl·ɪd·li ˈsɑl·ɪd·li ˈsɑl·ɪd·li
soliloquy, səˈlɪləkwi səˈlɪl·ə·kwi
solitaire, ˈsɑːləter ˈsɑːləter ˈsɑl·ɪˌteər ˈsɑl·ɪˌteər
solitary, ˈsɑːləteri ˈsɑːləteri ˈsɑl·əˌter·i
solitude, ˈsɑːlətuːd ˈsɑl·ɪˌtud
solo, ˈsoʊloʊ ˈsoʊloʊ ˈsoʊ·loʊ
soloist, ˈsoʊloʊɪst
solstice," ˈsɑːlstɪs ˈsɑl·stɪs, ˈsoʊl-"
soluble, ˈsɑːljəbəl
solution, səˈluːʃən səˈluːʃən səˈlu·ʃən səˈlu·ʃən
solvable, ˈsɑːlvəbəl
solve," sɑːlv sɑlv, sɔlv"
solvency, ˈsɑːlvənsi ˈsɑːl-
solvent," ˈsɑːlvənt ˈsɑl·vənt, ˈsɔl-"
soma, ˈsoʊmə ˈsoʊmə
somber, ˈsɑːmbɚ ˈsɑːmbɚ ˈsɑm·bər ˈsɑm·bər
sombrero, sɑːmˈbreroʊ səmˈbreər·oʊ
some," strong sʌm strong sʌm strong sʌm strong sʌm strong sʌm sʌm, səm sʌm, səm"
somebody," ˈsʌmˌbɑːdi ˈsʌmˌbɑd·i, -bəd·i"
someday, ˈsʌmdeɪ ˈsʌmˌdeɪ
somehow, ˈsʌmhaʊ ˈsʌmhaʊ ˈsʌmhɑʊ
someone," ˈsʌmwʌn ˈsʌmˌwʌn, -wən"
someplace, ˈsʌmpleɪs ˈsʌmˌpleɪs
somersault, ˈsʌmɚsɑːlt ˈsʌm·ərˌsɔlt
something, ˈsʌmθɪŋ ˈsʌmθɪŋ ˈsʌm·θɪŋ ˈsʌm·θɪŋ
sometime, ˈsʌmtaɪm ˈsʌmˌtɑɪm
sometimes, ˈsʌmtaɪmz ˈsʌmˌtɑɪmz
somewhat," ˈsʌmwɑːt ˈsʌm·hwʌt, -wʌt, -hwɑt, -wɑt"
somewhere," ˈsʌmwer ˈsʌm·hwer, -weər ˈsʌm·hwer, -weər"
somnolent, ˈsɑːmnələnt
son, sʌn sʌn sʌn
sonar, ˈsoʊnɑːr ˈsoʊ·nɑr
sonata, səˈnɑːt̬ə səˈnɑ·t̬ə
song, sɑːŋ sɑːŋ sɑːŋ sɔŋ sɔŋ sɔŋ
songbird, ˈsɑːŋbɝːd
songbook, ˈsɑːŋbʊk
songwriter, ˈsɑːŋˌraɪt̬ɚ ˈsɔŋˌrɑɪ·t̬ər
songwriting, ˈsɑːŋˌraɪt̬ɪŋ
sonic, ˈsɑːnɪk
sonnet, ˈsɑːnɪt ˈsɑn·ɪt
sonny, ˈsʌni
sonogram, ˈsɑːnəɡræm
sonorous, ˈsɑːnɚəs
soon, suːn sun
soot, sʊt sʊt
soothe, suːð suːð suð
soothing, ˈsuːðɪŋ ˈsuːðɪŋ
soothingly, ˈsuːðɪŋli
soothsayer, ˈsuːθˌseɪɚ
sooty, ˈsʊt̬i ˈsʊt̬i
sop, sɑːp sɑp
sophisticate, səˈfɪstəkət
sophisticated, səˈfɪstəkeɪt̬ɪd səˈfɪstəkeɪt̬ɪd səˈfɪs·tɪˌkeɪ·t̬ɪd səˈfɪs·tɪˌkeɪ·t̬ɪd
sophistication, səˌfɪstəˈkeɪʃən səˌfɪs·tɪˈkeɪ·ʃən səˌfɪs·tɪˈkeɪ·ʃən
sophomore," ˈsɑːfəmɔːr ˈsɑfˌə·mɔr, -ˌmoʊr"
sophomoric," ˌsɑːfəˈmɔːrɪk sɑfˈə·mɔr·ɪk, -ˈmoʊr-"
sopping, ˈsɑːpɪŋ ˈsɑp·ɪŋ
soprano," səˈprænoʊ səˈprænoʊ səˈpræn·oʊ, -ˈprɑ·noʊ-"
sorbet, sɔːrˈbeɪ sɔrˈbeɪ
sorcerer, ˈsɔːrsɚɚ
sorcery, ˈsɔːrsɚi ˈsɔr·sə·ri
sordid, ˈsɔːrdɪd ˈsɔːrdɪd ˈsɔrd·əd ˈsɔrd·əd
sore," sɔːr sɔːr sɔr, soʊr sɔr, soʊr"
sorely, ˈsɔːrli ˈsɔr·li
sorghum, ˈsɔːrɡəm ˈsɔːrɡəm
sorority," səˈrɔːrət̬i səˈrɔr·ɪ·t̬i, -ˈrɑr-"
sorrel, ˈsɔːrəl
sorrow," ˈsɔːroʊ ˈsɑr·oʊ, ˈsɔr-"
sorrowful, ˈsɔːrəfəl
sorry," ˈsɔːri ˈsɔːri ˈsɑr·i, ˈsɔr·i ˈsɑr·i, ˈsɔr·i ˈsɑr·i, ˈsɔr·i ˈsɑr·i, ˈsɔr·i ˈsɑr·i, ˈsɔr·i"
sort, sɔːrt sɔːrt sɔrt sɔrt
sorted, ˈsɔːrt̬ɪd
sortie, ˈsɔːrt̬i ˈsɔːrt̬i ˈsɔːrt̬i
sot, sɑːt
sought, sɑːt sɔt
souk, suːk
soul, soʊl soʊl soʊl soʊl soʊl soʊl soʊl soʊl soʊl soʊl
soulful, ˈsoʊlfəl ˈsoʊlfəl ˈsoʊl·fəl
soulless, ˈsoʊlləs
sound, saʊnd saʊnd saʊnd saʊnd saʊnd sɑʊnd sɑʊnd
soundings, ˈsaʊndɪŋz
soundly, ˈsaʊndli ˈsaʊndli ˈsɑʊnd·li
soundness, ˈsaʊndnəs ˈsaʊndnəs ˈsaʊndnəs
soundtrack, ˈsaʊndtræk ˈsɑʊnd·træk
soup, suːp sup
soupy, ˈsuːpi ˈsuːpi
sour, saʊr saʊr sɑʊər sɑʊər
source," sɔːrs sɔːrs sɔrs, soʊrs sɔrs, soʊrs"
sousaphone, ˈsuːzəfoʊn
south, saʊθ sɑʊθ sɑʊθ sɑʊθ
southbound, ˈsaʊθbaʊnd
southeast, ˌsaʊθˈiːst ˌsɑʊθˈist
southeastern, ˌsaʊθˈiːstɚn
southerly, ˈsʌðɚli
southern, ˈsʌðɚn
southerner, ˈsʌðɚnɚ ˈsʌð·ər·nər
southernmost, ˈsʌðɚnmoʊst
southward, ˈsaʊθwɚd ˈsɑʊθ·wərd
southwest, ˌsaʊθˈwest ˌsɑʊθˈwest
southwestern, ˌsaʊθˈwestɚn
souvenir, ˌsuːvəˈnɪr ˌsu·vəˈnɪər
sovereign," ˈsɑːvrən ˈsɑːvrən ˈsɑv·rən, ˈsɑv·ər·ən"
sovereignty," ˈsɑːvrəni ˈsɑv·rən·ti, ˈsɑv·ər·ən·ti"
soviet," ˈsoʊviət ˈsoʊ·viˌet, -vi·ɪt ˈsoʊ·viˌet, -vi·ɪt"
sow, soʊ soʊ soʊ
sower, ˈsoʊɚ ˈsoʊɚ
sox, sɑːks
soy, sɔɪ sɔɪ
soya, ˈsɔɪə
soybean, ˈsɔɪbiːn ˈsɔɪˌbin
spa, spɑː spɑː spɑ
space, speɪs speɪs speɪs speɪs speɪs speɪs speɪs speɪs speɪs
spacecraft, ˈspeɪskræft speɪsˌkræft
spacer, ˈspeɪsɚ ˈspeɪsɚ
spaceship, ˈspeɪsʃɪp
spacesuit, ˈspeɪssuːt
spacey, ˈspeɪsi
spacial, ˈspeɪʃəl
spacing, ˈspeɪsɪŋ ˈspeɪ·sɪŋ ˈspeɪ·sɪŋ
spacious, ˈspeɪʃəs ˈspeɪ·ʃəs
spackle, ˈspækəl
spade, speɪd speɪd speɪd speɪd
spades, speɪdz
spadework, ˈspeɪdwɝːk
spaghetti, spəˈɡet̬i spəˈɡet̬·i
spake, speɪk
spam, spæm spæm
span, spæn spæn spæn spæn spæn
spandex, ˈspændeks
spangle, ˈspæŋɡəl ˈspæŋ·ɡəl
spangled, ˈspæŋɡəld
spaniel, ˈspænjəl ˈspæn·jəl
spank, spæŋk spæŋk spæŋk
spanking, ˈspæŋkɪŋ
spanner, ˈspænɚ ˈspæn·ər
spar, spɑːr spɑːr spɑr spɑr
spare, sper sper sper speər speər speər
sparing, ˈsperɪŋ ˈspeər·ɪŋ
sparingly, ˈsperɪŋli
spark, spɑːrk spɑːrk spɑːrk spɑːrk spɑrk spɑrk
sparkle, ˈspɑːrkəl ˈspɑːrkəl ˈspɑr·kəl ˈspɑr·kəl
sparkling," ˈspɑːrklɪŋ ˈspɑːrklɪŋ ˈspɑːrklɪŋ ˈspɑr·kə·lɪŋ, ˈspɑrk·lɪŋ ˈspɑr·kə·lɪŋ, ˈspɑrk·lɪŋ"
sparkly, ˈspɑːrkəli
sparky, ˈspɑːrki
sparrow, ˈsperoʊ ˈspær·oʊ
sparse, spɑːrs spɑrs
sparsely, ˈspɑːrsli
spartan, ˈspɑːrtən ˈspɑrt·ən
spasm, ˈspæzəm ˈspæz·əm
spasmodic, spæzˈmɑːdɪk
spasmodically, spæzˈmɑːdɪkəli
spastic, ˈspæstɪk
spat, spæt spæt
spate, speɪt speɪt
spatial, ˈspeɪʃəl
spatter, ˈspæt̬ɚ ˈspæt̬·ər
spattered, ˈspæt̬ɚd
spatula, ˈspætʃələ ˈspætʃələ ˈspætʃ·ə·lə
spawn, spɑːn spɑːn spɔn
spay, speɪ speɪ
spayed, speɪd
speak, spiːk spiːk spiːk spiːk spik spik spik spik spik
speaker, ˈspiːkɚ ˈspiːkɚ ˈspiːkɚ
speaking, ˈspiːkɪŋ ˈspi·kɪŋ
spear, spɪr spɪr spɪər
spearhead, ˈspɪrhed ˈspɪər·hed
spec, spek spek spek
special, ˈspeʃəl ˈspeʃəl ˈspeʃəl ˈspeʃ·əl ˈspeʃ·əl ˈspeʃ·əl
specialist, ˈspeʃəlɪst ˈspeʃəlɪst ˈspeʃ·ə·lɪst ˈspeʃ·ə·lɪst
speciality, ˌspeʃiˈælət̬i ˌspeʃiˈælət̬i ˌspeʃiˈælət̬i
specialization, ˌspeʃələˈzeɪʃən ˌspeʃ·ə·ləˈzeɪ·ʃən ˌspeʃ·ə·ləˈzeɪ·ʃən
specialize, ˈspeʃəlaɪz ˈspeʃəlaɪz ˈspeʃəlaɪz ˈspeʃəlaɪz ˈspeʃ·əˌlɑɪz
specialized, ˈspeʃəlaɪzd ˈspeʃəlaɪzd ˈspeʃəlaɪzd
specially, ˈspeʃəli ˈspeʃəli ˈspeʃ·ə·li
specialty, ˈspeʃəlti ˈspeʃəlti ˈspeʃ·əl·ti ˈspeʃ·əl·ti
species," ˈspiːʃiːz ˈspi·ʃiz, -siz"
specific, spəˈsɪfɪk spəˈsɪfɪk spɪˈsɪf·ɪk spɪˈsɪf·ɪk
specifically, spəˈsɪfɪkəli spəˈsɪfɪkəli spɪˈsɪf·ɪk·li spɪˈsɪf·ɪk·li
specification, ˌspesəfəˈkeɪʃən ˌspes·ə·fɪˈkeɪ·ʃən
specificity, ˌspesəˈfɪsət̬i
specifics, spəˈsɪfɪks spɪˈsɪf·ɪks
specify, ˈspesəfaɪ ˈspes·əˌfɑɪ
specimen, ˈspesəmɪn ˈspesəmɪn ˈspes·ə·mən ˈspes·ə·mən
specious, ˈspiːʃəs ˈspi·ʃəs
speck, spek spek
speckled, ˈspekəld ˈspek·əld
spectacle, ˈspektəkəl ˈspektəkəl ˈspek·tə·kəl ˈspek·tə·kəl
spectacles, ˈspek·tə·kəlz
spectacular, spekˈtækjəlɚ spekˈtækjəlɚ spekˈtæk·jə·lər
spectacularly, spekˈtækjəlɚli spekˈtækjəlɚli spekˈtæk·jə·lər·li
spectator, spekˈteɪt̬ɚ ˈspekˌteɪ·t̬ər
specter, ˈspektɚ ˈspek·tər ˈspek·tər
spectral, ˈspektrəl ˈspektrəl
spectre, ˈspektɚ
spectrometer, spekˈtrɑːmət̬ɚ
spectrometry, spekˈtrɑːmətri
spectroscopy, spekˈtrɑːskəpi
spectrum, ˈspektrəm ˈspektrəm ˈspek·trəm ˈspek·trəm ˈspek·trəm
speculate, ˈspekjəleɪt ˈspekjəleɪt ˈspek·jəˌleɪt ˈspek·jəˌleɪt
speculation, ˌspekjəˈleɪʃən ˌspekjəˈleɪʃən
speculative, ˈspekjələt̬ɪv ˈspekjələt̬ɪv ˈspekjələt̬ɪv ˈspek·jə·lə·t̬ɪv ˈspek·jə·lə·t̬ɪv
speculator, ˈspekjəleɪt̬ɚ ˈspek·jəˌleɪ·t̬ər -ɚ
sped, sped sped
speech, spiːtʃ spiːtʃ spiːtʃ spiːtʃ spiːtʃ spitʃ spitʃ spitʃ spitʃ
speechify, ˈspiːtʃəfaɪ
speechless, ˈspiːtʃləs ˈspitʃ·ləs
speechwriter, ˈspiːtʃˌraɪt̬ɚ ˈspitʃˌrɑɪ·t̬ər
speed, spiːd spiːd spiːd spiːd spiːd spiːd spid spid spid
speedboat, ˈspiːdboʊt ˈspidˌboʊt
speedily, ˈspiːdəli
speeding, ˈspiːdɪŋ ˈspid·ɪŋ
speedometer, spɪˈdɑːmət̬ɚ spɪˈdɑm·ɪ·t̬ər
speedway, ˈspiːdweɪ
speedy, ˈspiːdi ˈspi·di
spell, spel spel spel spel
spellbinding, ˈspelˌbaɪndɪŋ
spellbound, ˈspelbaʊnd ˈspelˌbɑʊnd
speller, ˈspelɚ ˈspelɚ ˈspelɚ
spelling, ˈspelɪŋ ˈspelɪŋ ˈspel·ɪŋ
spelunking, spəˈlʌŋkɪŋ
spend, spend spend spend spend spend spend
spender, ˈspendɚ -dɚ
spending, ˈspendɪŋ ˈspen·dɪŋ
spendthrift, ˈspendθrɪft ˈspendˌθrɪft
spent, spent spent spent
sperm, spɝːm spɝːm spɜrm spɜrm
spew, spjuː spju
sphere, sfɪr sfɪr sfɪər sfɪər
spherical," ˈsfɪrɪkəl ˈsfɪr·ɪ·kəl, ˈsfer-"
sphinx, sfɪŋks sfɪŋks sfɪŋks sfɪŋks
spic, spɪk
spice, spaɪs spaɪs spaɪs spɑɪs spɑɪs
spicy, ˈspaɪsi ˈspaɪsi ˈspɑɪ·si
spider, ˈspaɪdɚ ˈspɑɪ·dər
spiel," ʃpiːl spil, ʃpil"
spiffy, ˈspɪfi ˈspɪf·i
spigot, ˈspɪɡət ˈspɪɡət ˈspɪɡ·ət
spike, spaɪk spaɪk spɑɪk spɑɪk spɑɪk
spiked, spaɪkt spaɪkt spaɪkt
spiking, ˈspaɪkɪŋ ˈspaɪkɪŋ
spiky, ˈspaɪki ˈspaɪki
spill, spɪl spɪl
spillage, ˈspɪlɪdʒ
spillover, ˈspɪlˌoʊvɚ ˈspɪlˌoʊvɚ ˈspɪlˌoʊ·vər
spillway, ˈspɪlweɪ
spin, spɪn spɪn spɪn spɪn spɪn
spina, ˈspaɪnə
spinach, ˈspɪnɪtʃ ˈspɪn·ɪtʃ
spinal, ˈspaɪnəl ˈspɑɪ·nəl
spindle, ˈspɪndəl
spine, spaɪn spaɪn spaɪn spɑɪn spɑɪn spɑɪn
spineless, ˈspaɪnləs ˈspɑɪn·ləs
spinner, ˈspɪnɚ ˈspɪnɚ
spinney, ˈspɪni
spinster, ˈspɪnstɚ ˈspɪn·stər
spiny, ˈspaɪni
spiral, ˈspaɪrəl ˈspaɪrəl ˈspɑɪ·rəl
spire, spaɪr spɑɪər
spirit, ˈspɪrət ˈspɪrət ˈspɪrət ˈspɪrət ˈspɪrət ˈspɪrət ˈspɪr·ɪt ˈspɪr·ɪt ˈspɪr·ɪt ˈspɪr·ɪt
spirited, ˈspɪrət̬ɪd ˈspɪr·ɪ·t̬ɪd
spirits, ˈspɪr·ɪts ˈspɪr·ɪts
spiritual, ˈspɪrətʃuəl ˈspɪr·ɪ·tʃu·əl
spiritualism, ˈspɪrətʃuəlɪzəm
spiritualist, ˈspɪrətʃuəlɪst
spirituality, ˌspɪrətʃuˈælət̬i
spiritually, ˈspɪrətʃuəli
spit, spɪt spɪt spɪt spɪt spɪt
spitball, ˈspɪtbɑːl ˈspɪtbɑːl
spite, spaɪt spɑɪt
spiteful, ˈspaɪtfəl
spittle, ˈspɪt̬əl
spitz, spɪts
splash, splæʃ splæʃ splæʃ splæʃ
splashy, ˈsplæʃi ˈsplæʃ·i
splat, splæt splæt
splatter, ˈsplæt̬ɚ ˈsplæt̬·ər
spleen, spliːn spliːn
splendid, ˈsplendɪd ˈsplen·dɪd
splendidly, ˈsplendɪdli ˈsplendɪdli ˈsplen·dɪd·li
splendor, ˈsplendɚ ˈsplen·dər
splenic, ˈspliːnɪk
splice, splaɪs splɑɪs
splint, splɪnt splɪnt
splinter, ˈsplɪnt̬ɚ ˈsplɪn·tər
split, splɪt splɪt splɪt splɪt splɪt splɪt splɪt
splitter, ˈsplɪtɚ ˈsplɪtɚ ˈsplɪtɚ
splitting, ˈsplɪt̬·ɪŋ
splurge, splɝːdʒ ˈsplɜrdʒ
spoil, spɔɪl spɔɪl spɔɪl spɔɪl spɔɪl spɔɪl spɔɪl
spoiled, spɔɪld spɔɪld
spoiler, ˈspɔɪlɚ ˈspɔɪlɚ ˈspɔɪlɚ
spoils, spɔɪlz
spoke, spoʊk spoʊk
spoken, ˈspoʊkən ˈspoʊ·kən
spokesman, ˈspoʊksmən ˈspoʊks·mən ˈspoʊks-
spokesperson, ˈspoʊksˌpɝːsən ˈspoʊksˌpɜr·sən
spokeswoman, ˈspoʊksˌwʊmən ˈspoʊksˌwʊm·ən
sponge, spʌndʒ spʌndʒ spʌndʒ spʌndʒ
spongy, ˈspʌndʒi ˈspʌn·dʒi
sponsor, ˈspɑːnsɚ ˈspɑːnsɚ ˈspɑːnsɚ ˈspɑːnsɚ ˈspɑːnsɚ ˈspɑːnsɚ ˈspɑːnsɚ ˈspɑn·sər
sponsored, ˈspɑːnsɚd
sponsorship, ˈspɑːnsɚʃɪp ˈspɑːnsɚʃɪp
spontaneity, ˌspɑːntənˈeɪət̬i ˌspɑːntənˈeɪət̬i
spontaneous, spɑːnˈteɪniəs spɑːnˈteɪniəs spɑnˈteɪ·ni·əs
spontaneously, spɑːnˈteɪniəsli spɑːnˈteɪniəsli
spoof, spuːf spuf
spook, spuːk spuːk spuk
spooky, ˈspuːki
spool, spuːl spul
spoon, spuːn spuːn spuːn spun
spoonful, ˈspuːnfʊl ˈspun·fʊl
spoor, spʊr
sporadic, spəˈrædɪk spəˈræd·ɪk
sporadically, spəˈrædɪkəli
spore," spɔːr spɔr, spoʊr"
sport," spɔːrt spɔːrt spɔːrt spɔːrt spɔːrt spɔːrt spɔrt, spoʊrt spɔrt, spoʊrt"
sporting," ˈspɔːrtɪŋ ˈspɔːrtɪŋ ˈspɔrt̬·ɪŋ, ˈspoʊrt̬-"
sportingly, ˈspɔːrt̬ɪŋli
sports," spɔːrts spɔrts, spoʊrts"
sportscaster, ˈspɔːrtsˌkæst̬ɚ ˈspɔrtsˌkæs·tər
sportsman, ˈspɔːrtsmən ˈspɔːrtsmən
sportsmanship," ˈspɔːrtsmənʃɪp ˈspɔrts·mənˌʃɪp, ˈspoʊrts-"
sportswear, ˈspɔːrtswer ˈspɔrtsˌweər
sportswriter, ˈspɔːrtsˌraɪt̬ɚ
